"A"	"M"	"Rp"	"car_den200"	"car_den100"	"car_den50"	"car_den40"	"car_den30"	"car_den20"	"car_den15"	"car_den10"	"car_den9"	"car_den8"	"car_den7"	"car_den6"	"car_den5"	"car_den4"	"car_den3"	"car_den2"	"car_den1"	"carc_dist"	"POINT_X"	"POINT_Y"
"1"	0	0	1	0.00627414	0.0184633	0.0189833	0.0120779	0.00445324	0.000439203	0	0	0	0	0	0	0	0	0	0	0	16.0312	34.4591379999765	370.725549999624
"2"	0	0	0	0.00633737	0.0193209	0.02344	0.0165596	0.00878439	0.00173371	0.000580714	0	0	0	0	0	0	0	0	0	0	12.2066	36.1387349999859	361.024890000001
"3"	0	0	0	0.00635736	0.0195968	0.0247338	0.0172701	0.00944495	0.00247126	0.000818352	0	0	0	0	0	0	0	0	0	0	11.4018	37.6530159999966	351.317619999871
"4"	0	0	1	0.00628528	0.0186331	0.0185391	0.0104706	0.00372849	0.0001375	0	0	0	0	0	0	0	0	0	0	0	18.0278	39.2929369999911	341.451639999636
"5"	0	0	1	0.00615757	0.016969	0.0105629	0.00395988	0.000279329	0	0	0	0	0	0	0	0	0	0	0	0	24.2074	41.2469549999805	331.691469999962
"6"	0	0	0	0.00649923	0.0214968	0.0393681	0.0370829	0.0273399	0.0110473	0.00624376	0.00554346	0.0056911	0.00561996	0.00478426	0.00260339	4.7284e-06	0	0	0	0	5	23.3665299999993	370.252749999985
"7"	0	1	0	0.0066046	0.0230128	0.0536643	0.0579627	0.0564677	0.0467504	0.0389407	0.0245288	0.02273	0.0205508	0.0178426	0.0182498	0.021651	0.0224906	0.0104309	0	0	2.82843	23.7500589999836	359.586649999954
"8"	1	1	0	0.00662704	0.023348	0.0572088	0.0630092	0.0608464	0.0540971	0.0554859	0.0624077	0.0620693	0.0583649	0.0479901	0.0301786	0.0144489	0.00423273	0	0	0	3.60555	24.0591980000027	350.467899999581
"9"	0	0	0	0.0066043	0.0230183	0.0536265	0.056255	0.0480938	0.0296557	0.0172845	0.00521332	0.00354817	0.00177308	0.000332555	0	0	0	0	0	0	6.32456	24.5898579999921	340.496129999869
"10"	0	0	0	0.0064988	0.02151	0.0388573	0.0334849	0.0191208	0.00241565	0	0	0	0	0	0	0	0	0	0	0	15.6525	25.4957820000127	330.811999999918
"11"	0	0	0	0.00640935	0.0201868	0.0289497	0.0226375	0.0112558	0.00353256	0.0017555	0.00014079	0	0	0	0	0	0	0	0	0	9.48683	13.1996819999767	381.563579999842
