SLOPE,ELEV,TEMP,SITE,ID,PRED,DENS,ACTI
Eastern,374,23.94166946,Eastern_374,ant,0.186111111,2.933333333,0.06344697
Eastern,394,23.97916985,Eastern_394,ant,0.568055556,4.4,0.129103535
Eastern,438,24,Eastern_438,ant,1,3.533333333,0.283018868
Eastern,741,22.62916946,Eastern_741,ant,0.241666667,4.933333333,0.048986487
Eastern,746,22.42082977,Eastern_746,ant,0.675,2.866666667,0.235465116
Eastern,808,21.98332977,Eastern_808,ant,0.240740741,1.4,0.171957672
Eastern,1114,21.14583015,Eastern_1114,ant,0.25,2.466666667,0.101351351
Eastern,1348,19.52916908,Eastern_1348,ant,0.194179894,1,0.194179894
Eastern,1349,19.62916946,Eastern_1349,ant,0.05,1.2,0.041666667
Eastern,1646,18.91666985,Eastern_1646,ant,0.052564103,0.333333333,0.157692309
Eastern,1754,17.83333015,Eastern_1754,ant,0,0.8,0
Eastern,1851,17.98749924,Eastern_1851,ant,0,0.333333333,0
Eastern,2049,17.3125,Eastern_2049,ant,0,0.2,0
Eastern,2110,16.10000038,Eastern_2110,ant,0,0.133333333,0
Eastern,2388,14.40832996,Eastern_2388,ant,0,0,
Eastern,2630,15.00833035,Eastern_2630,ant,0,0.066666667,0
Eastern,2844,9.658333778,Eastern_2844,ant,0,0,
Eastern,2879,9.658333778,Eastern_2879,ant,0,0,
Eastern,3263,6.5,Eastern_3263,ant,0,0,
Eastern,3368,8.3125,Eastern_3368,ant,0,0,
Eastern,3448,5.474999905,Eastern_3448,ant,0,0,
Eastern,3549,7.612500191,Eastern_3549,ant,0,0,
Eastern,3682,5.983333111,Eastern_3682,ant,0,0,
Eastern,3792,5.625,Eastern_3792,ant,0,0,
Western,171,24.68333054,Western_171,ant,0.629365079,5.6,0.112386621
Western,215,24.26250076,Western_215,ant,0.207010582,2.2,0.094095719
Western,217,24.61249924,Western_217,ant,0.275396825,4.066666667,0.067720531
Western,541,23.1875,Western_541,ant,0.271825397,5.4,0.050338036
Western,600,22.42917061,Western_600,ant,0.151190476,2.466666667,0.061293436
Western,630,22.59583092,Western_630,ant,0.203192641,5.6,0.0362844
Western,1241,18.69166946,Western_1241,ant,0.152248677,2.533333333,0.060098162
Western,1301,18.66250038,Western_1301,ant,0.164484127,1.466666667,0.112148268
Western,1378,18.97916985,Western_1378,ant,0.121428571,1.866666667,0.06505102
Western,1615,17.16666985,Western_1615,ant,0,0.066666667,0
Western,1781,17.31666946,Western_1781,ant,0.035714286,0.733333333,0.048701299
Western,1876,16.88750076,Western_1876,ant,0,0.466666667,0
Western,2139,17.68333054,Western_2139,ant,0,0.2,0
Western,2320,17.21249962,Western_2320,ant,0,0.266666667,0
Western,2385,15.97916985,Western_2385,ant,0,0.133333333,0
Western,2554,16.15833092,Western_2554,ant,0,0,
Western,2726,15.66666985,Western_2726,ant,0,0,
Western,2927,15.4375,Western_2927,ant,0,0,
Western,3298,10.97500038,Western_3298,ant,0,0.066666667,0
Western,3347,11.50417042,Western_3347,ant,0,0,
Western,3493,9.120833397,Western_3493,ant,0,0,
Western,3796,6.912499905,Western_3796,ant,0,0,
Western,3796,10.35000038,Western_3796,ant,0,0,
Western,3897,6.212500095,Western_3897,ant,0,0,
Eastern,374,23.94166946,Eastern_374,noant,0.208333333,1,0.208333333
Eastern,394,23.97916985,Eastern_394,noant,0,0.8,0
Eastern,438,24,Eastern_438,noant,0,0.933333333,0
Eastern,741,22.62916946,Eastern_741,noant,0,0.466666667,0
Eastern,746,22.42082977,Eastern_746,noant,0.083333333,0.733333333,0.113636363
Eastern,808,21.98332977,Eastern_808,noant,0.100925926,0.466666667,0.216269841
Eastern,1114,21.14583015,Eastern_1114,noant,0.025,0.666666667,0.0375
Eastern,1348,19.52916908,Eastern_1348,noant,0.023809524,0.466666667,0.051020409
Eastern,1349,19.62916946,Eastern_1349,noant,0,0.266666667,0
Eastern,1646,18.91666985,Eastern_1646,noant,0.016666667,0.2,0.083333335
Eastern,1754,17.83333015,Eastern_1754,noant,0.016666667,0.6,0.027777778
Eastern,1851,17.98749924,Eastern_1851,noant,0,0.6,0
Eastern,2049,17.3125,Eastern_2049,noant,0,0.666666667,0
Eastern,2110,16.10000038,Eastern_2110,noant,0,0.333333333,0
Eastern,2388,14.40832996,Eastern_2388,noant,0,0.333333333,0
Eastern,2630,15.00833035,Eastern_2630,noant,0.011111111,0.066666667,0.166666664
Eastern,2844,9.658333778,Eastern_2844,noant,0,0.066666667,0
Eastern,2879,9.658333778,Eastern_2879,noant,0,0.066666667,0
Eastern,3263,6.5,Eastern_3263,noant,0,0,
Eastern,3368,8.3125,Eastern_3368,noant,0,0.066666667,0
Eastern,3448,5.474999905,Eastern_3448,noant,0,0.066666667,0
Eastern,3549,7.612500191,Eastern_3549,noant,0,0,
Eastern,3682,5.983333111,Eastern_3682,noant,0,0,
Eastern,3792,5.625,Eastern_3792,noant,0,0,
Western,171,24.68333054,Western_171,noant,0.023809524,0.666666667,0.035714286
Western,215,24.26250076,Western_215,noant,0.028571429,0.733333333,0.03896104
Western,217,24.61249924,Western_217,noant,0.108730159,1.2,0.090608466
Western,541,23.1875,Western_541,noant,0.100198413,0.533333333,0.187872024
Western,600,22.42917061,Western_600,noant,0.116269841,0.266666667,0.436011903
Western,630,22.59583092,Western_630,noant,0.011904762,1.066666667,0.011160714
Western,1241,18.69166946,Western_1241,noant,0.054365079,0.6,0.090608465
Western,1301,18.66250038,Western_1301,noant,0.0375,0.533333333,0.0703125
Western,1378,18.97916985,Western_1378,noant,0.081679894,0.733333333,0.111381674
Western,1615,17.16666985,Western_1615,noant,0.011111111,0.133333333,0.083333333
Western,1781,17.31666946,Western_1781,noant,0.011904762,0.266666667,0.044642857
Western,1876,16.88750076,Western_1876,noant,0.011904762,0.4,0.029761905
Western,2139,17.68333054,Western_2139,noant,0.011111111,0.133333333,0.083333333
Western,2320,17.21249962,Western_2320,noant,0,0.266666667,0
Western,2385,15.97916985,Western_2385,noant,0.022222222,0.266666667,0.083333332
Western,2554,16.15833092,Western_2554,noant,0,0.4,0
Western,2726,15.66666985,Western_2726,noant,0.023015873,0,
Western,2927,15.4375,Western_2927,noant,0,0.2,0
Western,3298,10.97500038,Western_3298,noant,0,0.133333333,0
Western,3347,11.50417042,Western_3347,noant,0,0.466666667,0
Western,3493,9.120833397,Western_3493,noant,0,0,
Western,3796,6.912499905,Western_3796,noant,0,0.066666667,0
Western,3796,10.35000038,Western_3796,noant,0,0,
Western,3897,6.212500095,Western_3897,noant,0,0,
