sample	management	fungal.frequency	fungi
1	AG	1	MET
2	AG	1	MET
3	AG	1	MET
4	AG	1	MET
5	AG	0	nofungi
6	AG	1	BEAUVERIA
7	AG	1	METBEAU
8	AG	1	MET
9	AG	0	nofungi
10	AG	1	MET
11	AG	1	MET
12	AG	1	MET
13	AG	1	MET
14	AG	1	MET
15	AG	0	nofungi
16	AG	0	nofungi
17	AG	1	MET
18	AG	1	MET
19	AG	1	MET
20	AG	1	MET
21	AG	1	METBEAU
22	AG	0	nofungi
23	AG	1	MET
24	AG	1	MET
25	AG	1	MET
26	AG	0	nofungi
27	AG	1	MET
28	AG	1	MET
29	AG	1	MET
30	AG	1	MET
31	AG	1	MET
32	AG	1	MET
33	AG	1	METBEAU
34	AG	1	MET
35	AG	1	MET
36	AG	1	MET
37	AG	1	MET
38	AG	0	nofungi
40	AG	0	nofungi
41	AG	1	MET
42	AG	1	MET
43	AG	1	BEAUVERIA
44	AG	1	BEAUVERIA
45	AG	1	MET
46	AG	1	MET
47	AG	1	MET
48	AG	1	MET
49	AG	1	MET
50	AG	1	MET
51	AG	1	MET
52	AG	1	BEAUVERIA
53	AG	0	nofungi
54	AG	0	nofungi
55	AG	1	MET
56	AG	0	nofungi
57	AG	0	nofungi
58	AG	1	METBEAU
59	AG	0	nofungi
60	AG	1	MET
61	AG	1	MET
62	AG	1	MET
63	AG	1	MET
64	AG	0	nofungi
66	AG	1	MET
67	AG	1	MET
68	AG	1	MET
69	AG	1	MET
70	AG	1	MET
71	AG	1	BEAUVERIA
72	AG	1	MET
73	AG	0	nofungi
74	AG	1	ISARIA
75	AG	1	MET
76	AG	1	BEAUVERIA
77	AG	1	MET
78	AG	1	BEAUVERIA
79	AG	1	METBEAU
80	AG	1	MET
1	FS	1	MET
2	FS	1	BEAUVERIA
3	FS	1	MET
4	FS	1	MET
5	FS	1	MET
6	FS	1	ISARIA
7	FS	0	nofungi
8	FS	1	METBEAU
9	FS	1	MET
10	FS	1	MET
11	FS	1	BEAUVERIA
12	FS	1	MET
13	FS	1	MET
14	FS	0	nofungi
15	FS	1	MET
17	FS	1	MET
18	FS	0	nofungi
20	FS	1	MET
21	FS	1	MET
22	FS	0	nofungi
23	FS	0	nofungi
24	FS	0	nofungi
25	FS	0	nofungi
26	FS	1	MET
27	FS	0	nofungi
28	FS	0	nofungi
29	FS	1	MET
30	FS	0	nofungi
31	FS	0	nofungi
32	FS	1	MET
34	FS	0	nofungi
35	FS	1	MET
36	FS	1	MET
38	FS	0	nofungi
39	FS	0	nofungi
40	FS	0	nofungi
41	FS	0	nofungi
42	FS	0	nofungi
43	FS	0	nofungi
44	FS	0	nofungi
45	FS	0	nofungi
46	FS	1	METBEAU
47	FS	1	MET
48	FS	1	MET
49	FS	1	MET
50	FS	1	MET
51	FS	0	nofungi
53	FS	0	nofungi
54	FS	1	MET
55	FS	1	nofungi
56	FS	1	BEAUVERIA
57	FS	0	nofungi
58	FS	1	METARHIZIUM
59	FS	0	nofungi
60	FS	1	MET
61	FS	0	nofungi
62	FS	1	MET
63	FS	1	MET
64	FS	1	MET
65	FS	1	METBEAU
66	FS	1	MET
67	FS	0	nofungi
68	FS	0	nofungi
69	FS	0	nofungi
70	FS	0	nofungi
71	FS	0	nofungi
72	FS	1	BEAUVERIA
73	FS	0	nofungi
74	FS	1	MET
75	FS	0	nofungi
76	FS	1	MET
77	FS	0	nofungi
78	FS	0	nofungi
79	FS	0	nofungi
80	FS	1	ISARIA
