data	age	earlier_first_reprodction	sex	PopSize	PrimOri	PartExp	F	ImmRel
age_at_first_reproduction	5	0	female	2	yes	yes	0,250000	F2
age_at_first_reproduction	3	0	female	7	yes	no	0,125000	F2
age_at_first_reproduction	6	0	female	9	no	no	0,375000	F3
age_at_first_reproduction	7	0	female	10	no	no	0,375000	F3
age_at_first_reproduction	3	0	female	17	yes	no	0,210938	F3
age_at_first_reproduction	2	1	female	17	no	no	0,234375	F3
age_at_first_reproduction	2	1	female	17	no	no	0,269531	F3
age_at_first_reproduction	4	0	female	22	yes	no	0,269531	F3
age_at_first_reproduction	2	1	female	22	no	no	0,269531	F3
age_at_first_reproduction	3	0	female	22	no	no	0,269531	F3
age_at_first_reproduction	4	0	female	29	yes	no	0,187500	F2
age_at_first_reproduction	3	0	female	29	yes	yes	0,256836	native_inbred
age_at_first_reproduction	3	0	female	31	yes	no	0,219727	F3
age_at_first_reproduction	3	0	female	39	yes	no	0,267578	F3
age_at_first_reproduction	4	0	female	39	yes	no	0,302246	native_inbred
age_at_first_reproduction	3	0	female	39	yes	no	0,293457	native_inbred
age_at_first_reproduction	2	1	female	39	no	no	0,290039	native_inbred
age_at_first_reproduction	2	1	female	39	no	no	0,293457	native_inbred
age_at_first_reproduction	2	1	female	39	no	no	0,299805	native_inbred
age_at_first_reproduction	3	0	female	39	no	no	0,324219	native_inbred
age_at_first_reproduction	2	1	female	43	yes	no	0,270508	native_inbred
age_at_first_reproduction	3	0	female	43	no	no	0,290039	native_inbred
age_at_first_reproduction	5	0	female	43	no	no	0,283203	native_inbred
age_at_first_reproduction	2	1	female	60	yes	no	0,295410	native_inbred
age_at_first_reproduction	3	0	female	60	yes	no	0,000000	F1
age_at_first_reproduction	3	0	female	60	yes	no	0,261963	native_inbred
age_at_first_reproduction	3	0	female	60	yes	no	0,299316	native_inbred
age_at_first_reproduction	2	1	female	65	yes	no	0,262024	native_inbred
age_at_first_reproduction	2	1	female	65	yes	no	0,277832	native_inbred
age_at_first_reproduction	2	1	female	65	yes	no	0,297363	native_inbred
age_at_first_reproduction	2	1	female	65	yes	no	0,139008	F2
age_at_first_reproduction	2	1	female	65	yes	no	0,296997	native_inbred
age_at_first_reproduction	2	1	female	65	no	no	0,000000	F1
age_at_first_reproduction	2	1	female	65	no	no	0,299316	native_inbred
age_at_first_reproduction	2	1	female	65	no	no	0,410400	native_inbred
