trat,distancia
maiz,2.15
maiz,2.14
maiz,2.13
maiz,2.13
maiz,2.12
maiz,2.11
maiz,2.1
maiz,2.08
maiz,2.08
maiz,2.08
maiz,2.04
maiz,2.05
maiz,2.03
maiz,2.02
maiz,2.01
maiz,2
maiz,1.99
maiz,1.96
maiz,1.95
maiz,1.93
maiz,1.89
algodon,2.12
algodon,2.07
algodon,2.01
algodon,1.93
algodon,1.77
algodon,1.68
algodon,1.64
algodon,1.61
algodon,1.59
algodon,1.58
algodon,1.56
algodon,1.55
algodon,1.54
algodon,1.49
algodon,1.45
algodon,1.43
algodon,1.39
algodon,1.34
algodon,1.33
algodon,1.29
algodon,1.26
algodon,1.24
algodon,1.11
algodon,1.05
