year	site	species	id	sex	infected	strain	strain.2	type
2007	ind	p.humei	10024	m	1	HAE1	HAE1	H
2008	ind	p.humei	6001	f	1	HAE1	HAE1	H
2008	ind	p.humei	6497	f	1	HAE1	HAE1	H
2008	ind	p.humei	6202a	f	1	HAE1	HAE1	H
2008	ind	p.humei	6494	f	1	HAE1	HAE1	H
2008	ind	p.humei	6034a	m	1	HAE1	HAE1	H
2008	ind	p.humei	6013	m	1	HAE1	HAE1	H
2008	ind	p.humei	5148	m	1	HAE1	HAE1	H
2008	ind	p.humei	6090	m	1	HAE1	HAE1	H
2008	ind	p.humei	6479	m	1	HAE1	HAE1	H
2008	ind	p.humei	6498	m	1	HAE1	HAE1	H
2008	ind	p.humei	6499	m	1	HAE1	HAE1	H
2008	ind	p.humei	6085	m	1	HAE1	HAE1	H
2008	ind	p.humei	6089	m	1	HAE1	HAE1	H
2008	ind	p.humei	6493	m	1	HAE1	HAE1	H
2007	ind	p.humei	10001	f	1	HAE6	HAE1	H
2008	ind	p.humei	6093	f	1	HAE3	HAE3	H
2007	ind	p.humei	6763	f	1	HAE9	HAE3	H
2008	ind	p.humei	6475	m	1	HAE4	HAE4	H
2008	ind	p.humei	6017	f	1	HAE5	HAE4	H
2008	ind	p.humei	6003	m	1	HAE5	HAE4	H
2007	ind	p.humei	10068	m	0	HAE8	HAE8	H
2008	ind	p.humei	6081	m	1	MI	NA	NA
2007	ind	p.humei	10009	f	0	NA	NA	NA
2007	ind	p.humei	6772	f	0	NA	NA	NA
2007	ind	p.humei	6783	f	0	NA	NA	NA
2007	ind	p.humei	6787	f	0	NA	NA	NA
2007	ind	p.humei	10076	f	0	NA	NA	NA
2007	ind	p.humei	102	f	0	NA	NA	NA
2007	ind	p.humei	1001	f	0	NA	NA	NA
2007	ind	p.humei	10003	f	0	NA	NA	NA
2007	ind	p.humei	10026	f	0	NA	NA	NA
2007	ind	p.humei	10028	f	0	NA	NA	NA
2007	ind	p.humei	10030	f	0	NA	NA	NA
2007	ind	p.humei	10035	f	0	NA	NA	NA
2007	ind	p.humei	10040	f	0	NA	NA	NA
2007	ind	p.humei	10041	f	0	NA	NA	NA
2007	ind	p.humei	10043	f	0	NA	NA	NA
2007	ind	p.humei	10060	f	0	NA	NA	NA
2007	ind	p.humei	1004	m	0	NA	NA	NA
2007	ind	p.humei	6762	m	0	NA	NA	NA
2007	ind	p.humei	6765	m	0	NA	NA	NA
2007	ind	p.humei	6773	m	0	NA	NA	NA
2007	ind	p.humei	6791	m	0	NA	NA	NA
2007	ind	p.humei	10092	m	0	NA	NA	NA
2007	ind	p.humei	10019	m	0	NA	NA	NA
2007	ind	p.humei	10023	m	0	NA	NA	NA
2007	ind	p.humei	10025	m	0	NA	NA	NA
2007	ind	p.humei	10032	m	0	NA	NA	NA
2007	ind	p.humei	10034	m	0	NA	NA	NA
2007	ind	p.humei	10038	m	0	NA	NA	NA
2007	ind	p.humei	10058	m	0	NA	NA	NA
2007	ind	p.humei	10064	m	0	NA	NA	NA
2008	ind	p.humei	10076	f	0	NA	NA	NA
