gen,Act_Inhib
YAL021C,P
YBL005W,P
YBL008W,N
YBL021C,P
YBL093C,P
YBL103C,P
YBR049C,P
YBR049C,N
YBR083W,P
YBR112C,P
YBR112C,N
YBR182C,NA
YBR279W,P
YBR289W,P
YBR297W,P
YCL066W,P
YCL066W,N
YCL067C,N
YCL067C,P
YCR065W,N
YCR084C,N
YCR093W,N
YCR097W,N
YCR097W,P
YDL056W,P
YDL056W,N
YDL106C,P
YDL165W,N
YDL170W,P
YDR034C,P
YDR043C,N
YDR123C,P
YDR123C,N
YDR146C,P
YDR176W,P
YDR207C,P
YDR207C,N
YDR216W,P
YDR392W,P
YDR397C,N
YDR421W,P
YDR423C,P
YDR448W,P
YEL009C,P
YER040W,P
YER068W,N
YER108C,P
YER111C,P
YER159C,N
YER161C,N
YER169W,N
YFL031W,P
YFR034C,P
YGL013C,P
YGL025C,P
YGL025C,N
YGL035C,N
YGL043W,N
YGL073W,P
YGL166W,P
YGL207W,P
YGL209W,N
YGL237C,P
YGL254W,P
YGR044C,N
YGR044C,P
YGR288W,P
YHL009C,NA
YHL025W,P
YHL027W,P
YHR084W,P
YHR119W,N
YIL038C,N
YIL101C,N
YIR017C,P
YIR018W,NA
YIR023W,P
YJL056C,P
YJL110C,N
YJL176C,P
YJR060W,P
YJR094C,P
YKL015W,P
YKL032C,N
YKL038W,P
YKL038W,N
YKL062W,P
YKL109W,P
YKL185W,N
YKR034W,N
YKR099W,P
YKR206W,P
YKR206W,N
YLR014C,P
YLR055C,N
YLR098C,P
YLR131C,P
YLR176C,N
YLR182W,P
YLR256W,P
YLR256W,N
YLR451W,P
YLR451W,N
YML007W,P
YML010W,N
YML099C,P
YML099C,N
YMR021C,P
YMR021C,P
YMR037C,P
YMR039C,P
YMR042W,P
YMR042W,N
YMR043W,P
YMR070W,P
YMR070W,N
YMR280C,P
YNL027W,P
YNL103W,P
YNL216W,P
YNL309W,NA
YNL314W,P
YNR023W,P
YNR052C,P
YOL004W,P
YOL004W,N
YOL051W,P
YOL051W,N
YOL067C,P
YOL108C,P
YOL116W,P
YOR140W,N
YOR230W,N
YOR290C,P
YOR344C,P
YOR358W,P
YOR363C,P
YPL016W,P
YPL075W,P
YPL082C,P
YPL089C,NA
YPL248C,P
YPR065W,N
YPR072W,NA
