Posicion,Pais,Puntaje,PuntajeAnt,Diferencia
1,Brazil,1832.69,1823.42,9.27
2,Belgium,1827,1828.45,-1.45
3,France,1789.85,1786.15,3.70
4,Argentina,1765.13,1766.99,-1.86
5,England,1761.71,1755.52,6.19
6,Italy,1723.31,1740.77,-17.46
7,Spain,1709.19,1704.75,4.44
8,Portugal,1674.78,1660.25,14.53
9,Mexico,1658.82,1647.9,10.92
10,Netherlands,1658.66,1653.73,4.93
11,Denmark,1653.6,1654.54,-0.94
12,Germany,1650.53,1648.33,2.20
13,Uruguay,1635.73,1614.05,21.68
14,Switzerland,1635.32,1642.83,-7.51
15,USA,1633.72,1643.34,-9.62
16,Croatia,1621.11,1620.74,0.37
17,Colombia,1600.52,1585.89,14.63
18,Wales,1588.08,1578.01,10.07
19,Sweden,1584.77,1588.26,-3.49
20,Senegal,1584.16,1587.78,-3.62
21,IR Iran,1564.49,1572.89,-8.40
22,Peru,1562.32,1563.45,-1.13
23,Japan,1553.44,1549.82,3.62
24,Morocco,1551.88,1547.42,4.46
25,Serbia,1547.53,1547.38,0.15
26,Poland,1544.2,1530.62,13.58
27,Ukraine,1535.08,1535.08,0.00
28,Chile,1526.4,1543.16,-16.76
29,Korea Republic,1519.54,1522.85,-3.31
30,Nigeria,1504.01,1509.91,-5.90
31,Costa Rica,1503.09,1464.06,39.03
32,Egypt,1500.67,1497.05,3.62
33,Czech Republic,1500.62,1510.42,-9.80
34,Austria,1500.37,1511.56,-11.19
35,Tunisia,1499.8,1489.92,9.88
36,Russia,1493.42,1493.42,0.00
37,Cameroon,1480.48,1480.82,-0.34
38,Canada,1479,1497.82,-18.82
39,Scotland,1472.66,1471.82,0.84
40,Hungary,1466.08,1465.62,0.46
41,Norway,1463.5,1455.43,8.07
42,Australia,1462.29,1486.86,-24.57
43,Turkey,1461.81,1472.72,-10.91
44,Algeria,1461.26,1460.93,0.33
45,Slovakia,1454.98,1455.36,-0.38
46,Ecuador,1452.63,1458.63,-6.00
47,Republic of Ireland,1449.48,1444.29,5.19
48,Romania,1446.54,1453.18,-6.64
