year,prec
1788,16.5
1703,76.2
1873,9.9
1888,56.1
1963,40.6
1813,37.8
1817,1.5
1790,59.2
1895,41.4
1725,55.4
1933,16.8
1964,80
1870,10.2
1967,48
1906,11.2
1816,56.1
1999,35
1818,80.3
1880,51.1
1972,40
1893,2.5
1719,30.7
1887,27.4
1884,32
1836,74.4
1775,27.2
1949,37.1
1899,60.2
1860,35.6
1715,80.3
1904,23.9
1768,85.9
1831,50.5
1881,19.6
1779,35.3
1750,69.1
1798,40.4
1866,43.7
1978,48
1862,65.5
1900,23.6
1912,3.8
1982,22
1975,37
1994,56.5
1795,16.5
1782,61
1890,43.9
1886,38.1
1841,40.9
1842,3.8
1997,9.8
1864,21.8
1718,53.1
1924,86.1
1721,83.8
1787,28.2
1752,25.1
1698,49
1921,26.9
1701,8.9
1773,38.1
1716,30.5
1712,55.1
1869,32
1835,27.9
1845,24.6
1871,71.9
1843,41.9
1801,15
1766,35.8
1909,44.7
1976,9
1821,64.8
1744,111.8
1876,52.1
1850,46.2
1796,9.9
1962,42
1952,30
1805,60.7
1910,26.9
1697,45.7
1727,15
1722,27.9
1995,15.4
1932,56.6
1763,29.5
1774,31.7
1724,27.9
1848,79.2
1908,58.7
1898,26.2
1754,27.2
1833,70.4
1992,58.7
1913,65.3
1930,47.5
1985,33
1947,42.7
1927,45.2
1784,69.1
1989,65.8
1812,41.7
1753,58.4
1720,53.1
1765,57.9
1735,34.8
1699,20.8
1807,11.2
1714,34.5
1830,74.2
1977,26
1743,54.6
1849,57.1
1937,50.3
1762,6.9
1771,26.9
1877,68.6
1791,46.5
1851,42.7
1854,7.9
1883,40.9
1993,83
1806,32.5
1984,10
1707,22.1
1794,47.8
1840,1.5
1824,48.3
1764,44.2
1793,32.5
1809,93.5
1926,67.6
1755,68.8
1739,91.4
1940,40.9
1896,14.7
1936,42.7
1988,31.5
1919,59.4
1902,12.4
1941,43.7
1844,8.6
1780,76.7
1916,25.9
1709,61.2
1945,28.7
1882,65.8
1917,54.6
1998,82.6
1757,68.3
1738,46
1892,27.2
1761,17.8
1923,39.9
1728,97.3
1733,52.3
1736,17
1747,28.7
1969,15
1981,25
1855,6.9
1944,33.3
1783,16.3
1828,62.5
1946,48.5
1885,45.2
1996,27.1
1837,29.7
1859,65.3
1700,46.5
1826,22.6
1839,37.8
1925,50.3
1769,38.4
1702,66.3
1777,25.9
1717,53.1
1857,53.1
1760,6.6
1990,40
1745,61.5
1708,29.2
1865,11.4
1986,64
1799,62.7
1968,56
1731,39.1
1951,59
1960,13
1785,9.4
1729,45
1786,33.5
1810,43.9
1734,13.2
1971,36
1938,2.3
1954,10
1943,18.5
1748,63.8
1987,37
1966,92
1894,37.3
1874,32.3
1961,52
1800,71.1
1920,67.8
1770,58.2
1776,9.1
1974,10
1973,47
1970,62
1827,18.3
1979,79
1858,60.2
1953,56
1847,23.9
1875,40.9
1797,62.2
1742,39.1
1711,54.6
1822,78
1829,118.1
1740,53.8
1965,36
1772,51.8
1815,31.2
1704,28.7
1723,27.9
1811,32.3
1713,46.7
1803,41.7
1808,59.7
1891,25.1
1853,66.8
1980,17
1834,16.8
1956,24
1948,31.5
1991,62.6
1942,20.6
1950,62
1823,48.8
1756,97.5
1903,44.7
1792,73.4
1861,27.4
1905,38.9
1852,13.5
1934,37.3
1901,53.6
1911,47.8
1915,32
1706,56.1
1767,38.4
1914,22.1
1746,35.8
1778,21.6
1907,79.8
1802,19
1872,40.4
1730,18.8
1929,27.2
1819,61.7
1959,52
1889,56.6
1928,35.8
1759,40.6
1958,32.5
1758,27.7
1751,54.6
1825,59.2
1710,42.4
1781,12.2
1741,14
1737,25.7
1846,101.9
1957,9
1832,24.1
1820,36.1
1879,77.5
1749,36.6
1804,45.7
1863,7.6
1732,63.2
1922,66
1868,37.6
1705,31.2
1726,19
1878,98.3
1935,68.3
1838,13.2
1955,8
1856,56.4
1931,93
1918,80.3
1983,102
1789,33
1867,42.9
1939,56.1
1814,50.3
1897,35.3
