year,prec
1846,116.6
1702,41.9
1762,85.1
1935,50.5
1715,124.2
1909,33.3
1956,93
1953,44
1758,85.1
1752,38.6
1833,50
1743,42.9
1798,49
1991,20.7
1884,18
1887,67.8
1843,84.8
1825,82.3
1866,58.7
1924,63.5
1940,2.3
1738,53.3
1851,52.6
1775,46.2
1814,52.1
1968,78
1849,41.4
1719,80.8
1774,90.7
1890,49.5
1824,91.9
1978,34
1945,32
1811,54.4
1780,16
1842,72.6
1959,29
1797,92.7
1822,36.6
1713,38.9
1881,121.2
1901,47.5
1714,34.5
1787,27.9
1760,58.2
1949,38.1
1790,64.8
1848,121.7
1893,40.6
1734,52.1
1918,35.6
1993,27.6
1827,42.9
1860,124.2
1972,11
1999,124.8
1914,44.7
1998,16.6
1852,96
1867,52.3
1946,95
1919,53.6
1799,72.6
1803,31.5
1861,15
1888,75.4
1942,56.1
1727,2
1921,25.1
1879,128.3
1944,50
1994,69.3
1777,28.2
1771,114.6
1753,64.8
1873,52.3
1957,100
1943,35.6
1961,58
1970,54
1894,64
1815,41.1
1928,65.8
1742,2.5
1988,39.9
1908,61.7
1952,89
1788,104.4
1720,66.8
1796,17.3
1979,33
1697,85.1
1992,76.4
1789,57.7
1699,52.3
1703,20.6
1751,38.9
1765,51.6
1749,20.3
1807,49
1841,69.6
1907,45.5
1732,37.8
1844,47.5
1830,79.8
1705,65.8
1726,2.3
1709,75.2
1781,85.9
1958,86.6
1880,17.5
1962,62
1886,17.5
1938,68.6
1929,54.9
1834,70.9
1736,48.3
1954,80
1858,37.3
1711,66.8
1941,149.9
1864,31.7
1804,82.3
1977,127
1985,78
1823,65
1951,85
1971,85
1800,65.3
1813,25.1
1933,12.7
1733,99.3
1806,38.4
1832,91.9
1877,71.9
1698,42.7
1853,48.5
1700,49.5
1809,69.6
1773,107.7
1704,19
1892,83.3
1750,21.6
1911,20.6
1826,51.1
1925,65.5
1950,59.2
1722,64.3
1729,85.3
1934,45
1723,8.4
1889,55.1
1905,71.1
1906,19.6
1966,77
1783,61
1859,50.3
1976,13
1731,40.1
1801,41.7
1974,62
1870,51.3
1969,93
1868,64
1948,72.9
1728,47
1939,87.1
1936,12.2
1746,20.6
1730,0.5
1840,41.9
1865,110.2
1792,68.8
1778,17
1891,102.4
1795,62.5
1756,97.8
1915,82.5
1735,44.4
1904,42.2
1794,43.9
1874,32.8
1897,66.8
1776,69.1
1818,2.8
1896,40.1
1989,57.8
1963,55.9
1855,37.6
1701,39.9
1741,35.1
1821,64.8
1885,27.7
1903,99.8
1717,58.7
1964,46
1831,40.9
1932,29.7
1923,39.9
1755,78
1986,72
1920,37.8
1744,51.3
1747,8.9
1740,65
1916,99.6
1759,43.7
1763,54.9
1984,25
1782,118.1
1708,89.4
1721,44.7
1931,123.2
1875,16.5
1990,38
1761,83.1
1779,32
1770,25.7
1912,134.4
1786,32.5
1973,43
1808,84.8
1871,24.4
1926,14.7
1718,16.8
1820,59.2
1837,80.5
1965,59
1745,71.4
1967,41
1828,111.3
1900,67.3
1937,75.7
1913,31.5
1785,83.3
1869,29.7
1835,4.8
1817,71.6
1960,46
1947,10.2
1981,58
1910,70.9
1739,64.3
1882,28.7
1710,51.8
1996,46.2
1816,73.9
1898,28.2
1839,47.8
1955,18
1847,38.9
1895,72.9
1768,100.8
1987,69
1917,106.2
1829,106.9
1883,23.1
1716,12.7
1793,43.9
1772,52.6
1899,11.4
1707,66
1805,68.8
1857,70.6
1802,54.4
1922,52.6
1980,47
1982,43
1850,25.1
1810,82.5
1819,37.1
1769,59.9
1764,83.6
1876,49
1725,75.7
1836,51.1
1812,34.3
1791,31.2
1983,19
1724,61.5
1927,103.4
1930,71.6
1712,67.3
1757,89.9
1737,132.6
1872,40.1
1854,45.7
1748,44.2
1863,44.4
1878,165.6
1845,72.1
1706,68.8
1784,62
1766,23.4
1975,13
1767,87.4
1856,80
1995,0.5
1997,70.5
1754,71.4
1902,87.6
1862,68.3
1838,31.2
