year,prec
1841,54.9
1932,11.7
1899,31.7
1925,67.8
1840,11.7
1851,16
1879,19.3
1911,113
1928,59.7
1807,21.8
1754,109.7
1733,74.9
1989,119.6
1806,95.5
1975,28
1759,49.5
1864,12.4
1748,115.8
1822,54.6
1726,101.3
1830,40.4
1896,79
1781,41.9
1991,17.5
1961,87.4
1814,87.6
1795,32.8
1740,97
1849,33
1850,29.7
1958,75
1847,47
1981,77
1945,68.3
1782,24.6
1843,15
1746,47.2
1724,39.1
1769,52.6
1796,42.4
1974,35
1776,38.6
1735,45
1764,60.7
1980,34
1953,13
1901,82.3
1816,88.4
1708,59.4
1697,56.6
1875,23.9
1705,132.3
1996,14.7
1934,112.3
1845,67.6
1758,40.6
1985,85
1952,60
1836,38.4
1831,61.2
1826,45.2
1880,83.6
1774,50.5
1848,52.6
1834,19.3
1818,38.6
1971,18
1801,82.8
1863,28.4
1942,55.6
1869,62.5
1753,59.7
1846,31.2
1853,7.9
1890,14
1715,15.5
1743,41.4
1744,13.5
1938,83.6
1739,52.6
1768,59.7
1803,114.3
1966,74
1773,49.8
1721,30.7
1734,126.2
1778,74.9
1933,8.1
1939,21.3
1794,48.8
1872,95
1900,64.8
1727,72.1
1895,50
1703,13
1791,38.6
1948,51.3
1909,59.2
1907,91.7
1783,33.3
1780,10.2
1885,29.5
1920,49.3
1954,50
1771,69.3
1858,43.9
1837,35.6
1757,53.6
1714,23.6
1819,48.3
1811,46
1800,74.7
1842,19.6
1752,63.8
1861,23.6
1923,52.1
1956,65
1918,53.6
1978,114
1986,63
1998,49.2
1797,59.9
1949,37.3
1832,47.8
1827,79.8
1716,43.7
1702,62.7
1711,62
1741,30.7
1983,53
1813,17.5
1889,30.5
1914,166.6
1976,67
1793,69.8
1749,43.4
1812,11.7
1808,30.7
1903,40.9
1855,28.7
1878,33
1910,89.7
1893,59.4
1852,51.1
1876,146.6
1857,8.6
1766,44.2
1723,50.3
1823,84.1
1965,94
1838,43.7
1992,36.1
1962,58
1929,112.5
1969,42
1730,42.2
1884,57.4
1967,54
1943,35.3
1802,55.1
1804,23.1
1815,42.2
1856,49.5
1898,61.2
1931,13.7
1839,59.9
1824,89.7
1999,77.2
1799,21.8
1979,93
1750,72.1
1704,80.8
1779,140.7
1785,41.9
1765,23.6
1788,0
1888,35.3
1926,6.1
1756,49
1941,39.6
1751,52.8
1699,35.6
1935,54.6
1924,72.1
1720,47.5
1747,169.4
1937,87.4
1886,88.1
1881,67.3
1725,46.2
1940,28.4
1963,17
1916,57.1
1745,58.2
1946,49.3
1719,25.1
1717,30.7
1805,62
1833,111.3
1897,54.4
1915,136.9
1892,29.7
1722,25.1
1755,79.8
1767,13.5
1908,52.8
1873,10.2
1820,38.9
1865,16.5
1729,54.6
1997,48.8
1772,28.4
1905,18.8
1761,62.2
1970,38
1698,35.8
1775,17.8
1835,6.6
1922,71.9
1742,17
1902,35.1
1792,63.5
1713,42.2
1917,30
1868,132.1
1763,101.1
1709,69.3
1870,66.3
1973,38
1844,10.2
1760,49.5
1862,40.1
1737,35.6
1790,78.5
1957,44
1950,40.1
1736,88.4
1993,73.1
1731,51.6
1977,59
1762,2.8
1968,71
1860,36.8
1959,80
1988,11.1
1810,75.9
1891,73.9
1936,35.1
1821,131.3
1944,30.2
1706,63.5
1738,49
1972,59
1882,50.3
1990,63
1930,46.2
1866,43.2
1784,60.5
1728,28.2
1854,32.8
1701,56.9
1770,89.7
1927,94.2
1960,50
1913,24.9
1904,47.2
1877,34.3
1964,34
1798,32.5
1982,60
1867,32.8
1707,73.7
1712,62.2
1921,33
1777,21.8
1859,45
1718,83.8
1874,38.4
1987,15
1825,66
1947,54.4
1883,17.5
1871,27.9
1951,37
1817,78.7
1809,53.6
1955,45
1995,93.2
1786,83.8
1789,40.6
1732,49.8
1919,95
1710,48
1700,62.7
1829,3.8
1787,103.6
1894,50.5
1994,63.2
1828,45.2
1906,47
1984,53
1887,34.8
1912,68.3
