year,prec
1745,14.7
1714,10.7
1979,61
1742,63.8
1933,34
1973,14
1890,54.9
1721,41.9
1934,30.5
1931,27.2
1799,57.7
1955,49
1781,53.1
1825,24.6
1815,22.4
1753,55.6
1984,78
1788,16.5
1744,13
1995,120.8
1797,48.5
1794,17
1968,58
1793,51.8
1816,64.3
1999,68.7
1848,30
1814,64.5
1996,42.2
1993,69.3
1700,23.9
1818,57.1
1946,35.3
1738,40.6
1878,30.2
1849,44.7
1978,79
1709,71.9
1822,9.7
1837,80.3
1889,23.1
1765,61.5
1857,65.5
1731,12.7
1769,46.2
1841,67.3
1826,6.9
1828,95
1903,55.6
1912,87.9
1724,83.6
1918,74.7
1773,36.8
1803,46.2
1941,62.5
1776,35.3
1923,32.8
1730,12.7
1764,117.6
1894,74.4
1870,31.2
1976,15
1760,55.6
1791,72.6
1926,59.2
1864,24.4
1780,20.6
1887,37.3
1750,64.5
1735,70.6
1899,60.7
1705,6.6
1752,49.5
1992,13.2
1755,28.4
1703,54.1
1844,58.2
1953,21
1747,62.7
1739,96.5
1962,72
1858,24.4
1982,37
1708,87.1
1929,18.5
1854,49.8
1717,25.1
1850,37.1
1863,63.2
1910,42.7
1928,78.7
1851,79.5
1874,24.9
1823,44.2
1856,45.5
1800,97.3
1871,44.7
1885,35.1
1817,79.2
1710,49.8
1824,29
1861,11.7
1904,60.2
1959,54
1906,85.3
1749,136.7
1778,61
1843,34.3
1867,56.1
1952,46
1913,65
1751,74.4
1734,29.7
1702,59.7
1754,58.4
1808,32.8
1977,65
1886,87.6
1777,27.9
1951,77
1720,11.2
1842,27.4
1741,23.4
1785,48.8
1832,33.5
1853,55.4
1767,56.6
1974,61
1986,107
1706,65.8
1821,57.1
1927,48.5
1872,87.6
1930,68.8
1727,67.6
1833,13.5
1907,17.3
1884,53.6
1917,28.7
1838,6.9
1840,64.3
1711,63.8
1881,29.5
1786,67.8
1990,78
1954,23
1965,50
1893,33.3
1798,50
1914,14
1836,52.1
1846,73.7
1873,55.1
1924,63.8
1784,76.5
1762,62.5
1950,22.1
1932,40.9
1757,70.9
1939,109.5
1715,26.4
1896,15
1774,78.5
1922,56.6
1810,10.2
1698,66.5
1792,68.1
1916,31
1756,56.1
1766,3.3
1855,2.5
1829,7.9
1981,31
1796,68.8
1971,68
1994,81.4
1958,49
1915,106.4
1875,87.1
1779,6.3
1987,11
1827,19.3
1991,68.9
1771,48.5
1831,26.2
1768,45.5
1882,32.5
1948,90.7
1758,44.7
1790,36.6
1998,68.6
1733,21.1
1943,120.4
1707,28.7
1866,87.1
1740,3
1722,16.8
1699,54.1
1989,28.2
1949,30.5
1830,40.4
1880,11.2
1835,19
1883,59.2
1911,30.2
1919,89.7
1862,41.7
1819,53.1
1963,20
1713,116.1
1716,52.6
1983,49
1805,62.5
1723,30.7
1997,10.3
1957,39
1909,18.8
1938,56.6
1879,68.8
1789,55.6
1812,41.1
1895,36.3
1869,58.4
1966,31
1712,64.5
1728,86.6
1956,94
1743,20.6
1961,62
1947,34.3
1970,57
1925,44.7
1905,27.4
1770,26.2
1811,28.7
1852,70.4
1859,17.5
1729,20.8
1888,21.8
1975,84
1921,51.8
1801,36.1
1763,7.4
1908,46.2
1839,32.8
1897,44.2
1942,55.6
1980,32
1845,77
1746,63
1718,50.3
1795,16.8
1891,40.9
1847,33.8
1701,90.9
1834,74.4
1940,62.7
1892,11.4
1876,20.8
1809,112.3
1920,55.1
1900,74.4
1935,22.6
1775,49.3
1985,44
1782,70.9
1860,59.9
1732,16.8
1697,21.8
1725,18.3
1807,18.5
1901,21.6
1960,43
1937,95.5
1813,18.8
1868,85.1
1759,36.8
1944,39.6
1969,65
1748,14.2
1772,87.9
1806,59.7
1804,63.2
1820,48
1719,22.4
1902,18.5
1761,8.1
1988,116.3
1802,13.2
1865,78.7
1787,14.5
1967,31
1737,14.5
1972,54
1726,110
1945,42.2
1936,99.3
1964,13
1736,89.9
1877,127.5
1704,24.6
1898,21.6
1783,41.4
