year,prec
1910,70.1
1960,42
1764,49.5
1778,16.8
1926,57.9
1989,41.9
1894,39.9
1755,17.5
1787,40.9
1967,52
1799,62
1800,7.9
1854,20.1
1855,34.8
1906,42.9
1847,34.8
1713,96.8
1785,32.8
1788,53.1
1730,34.5
1942,22.4
1816,41.4
1961,55
1773,38.6
1707,16.5
1856,26.9
1999,21.1
1749,33
1720,75.4
1977,62
1796,37.1
1832,5.8
1795,42.4
1869,49.3
1762,33
1768,58.2
1741,29.5
1970,36
1848,80.8
1993,4.7
1835,68.8
1861,38.4
1841,19.6
1912,34.3
1986,16
1819,55.6
1846,38.1
1878,28.2
1888,22.9
1700,46.7
1965,9
1809,53.8
1865,49.5
1727,57.9
1710,35.8
1886,16.5
1904,56.9
1882,33.5
1719,41.9
1737,72.1
1944,17
1876,44.7
1839,56.6
1780,23.6
1901,22.6
1857,10.7
1812,95.5
1808,23.1
1990,93
1759,17.5
1705,33.5
1867,31.7
1703,39.1
1801,22.4
1885,76.5
1775,58.9
1770,30.7
1840,32.3
1797,5.6
1866,86.1
1899,51.3
1794,22.4
1786,29.7
1927,86.4
1790,4.3
1724,27.9
1836,41.7
1884,40.1
1738,25.1
1714,32
1915,84.1
1850,24.6
1976,21
1974,64
1810,40.9
1817,21.8
1935,58.4
1930,14.7
1862,10.4
1716,10.4
1756,47.5
1972,46
1852,27.4
1789,61.5
1765,46.7
1875,23.6
1959,2
1923,71.4
1732,65.5
1746,60.5
1952,20
1883,84.6
1763,120.4
1925,81.3
1907,29.2
1872,20.1
1889,52.6
1807,32.8
1697,10.9
1996,44.4
1917,20.1
1721,25.1
1824,71.9
1984,26
1954,50
1826,43.7
1859,34
1997,55.1
1874,28.2
1896,6.9
1905,17
1873,39.4
1837,53.1
1833,103.1
1728,17.8
1983,31
1784,40.1
1753,48
1934,5.6
1750,58.7
1971,13
1877,44.4
1880,55.6
1791,45.5
1823,80.5
1842,34.3
1731,27.7
1995,68.5
1932,4.3
1792,19.6
1966,69
1898,33.8
1851,23.4
1975,26
1864,18.5
1868,27.4
1879,104.4
1766,61.7
1911,33.3
1711,46
1953,29
1958,59
1699,36.8
1698,7.9
1845,24.1
1739,102.6
1769,46.5
1743,19.8
1969,39
1909,7.9
1761,38.6
1712,46.5
1798,13
1718,25.1
1709,51.6
1745,13.7
1900,80.5
1897,59.7
1902,21.6
1936,40.9
1726,18
1774,69.6
1929,13
1892,35.3
1831,58.4
1887,14.2
1767,73.2
1701,53.6
1918,21.3
1951,127
1921,4.8
1908,30.5
1704,13.5
1938,7.9
1760,73.7
1717,39.1
1987,30
1715,18.8
1830,34.3
1805,31.5
1722,22.4
1782,14.7
1828,24.1
1950,80.3
1849,65.3
1924,10.4
1723,50.3
1945,35.3
1748,27.2
1988,31.8
1956,5
1968,24
1757,23.1
1735,53.1
1863,13
1985,24
1827,20.3
1948,36.3
1820,22.6
1742,33.3
1955,29
1916,78.5
1783,81.5
1891,2.3
1946,57.4
1771,22.1
1973,13
1957,74
1706,47.2
1834,9.7
1928,35.6
1937,102.9
1821,5.3
1903,25.1
1890,23.1
1992,21.2
1870,32.3
1994,44.8
1962,16
1943,36.6
1804,37.1
1815,20.6
1949,22.4
1843,60.7
1708,14
1813,80
1822,25.7
1751,35.6
1853,15.2
1838,56.4
1922,47.5
1981,11
1963,6
1991,43.2
1914,61.7
1941,49
1752,51.1
1979,46
1980,37
1777,39.1
1939,20.3
1920,10.4
1758,58.4
1740,7.6
1881,64.8
1803,25.9
1736,65.5
1919,56.1
1978,42
1913,19.8
1744,40.6
1776,105.7
1964,18
1860,26.2
1793,49.5
1998,6.6
1779,7.1
1781,52.6
1802,43.9
1806,29.7
1829,28.2
1754,37.8
1733,35.6
1940,40.6
1933,67.3
1818,46
1811,41.1
1747,61.5
1825,23.1
1858,45.7
1725,2.8
1893,66
1982,29
1702,44.4
1734,56.9
1844,58.7
1814,8.4
1871,24.6
1772,84.8
1947,30.2
1729,22.1
1931,37.3
1895,3.3
