year,prec
1697,37.6
1726,117.6
1843,43.2
1842,39.4
1862,52.1
1978,66
1936,59.7
1970,66
1861,53.3
1818,13.5
1743,71.6
1813,54.6
1857,31.7
1974,34
1729,29.2
1761,16.8
1786,23.6
1727,22.4
1877,81.5
1844,54.4
1792,59.7
1998,26.9
1943,36.6
1819,35.3
1706,75.4
1834,164.3
1823,76.2
1705,33.8
1789,79.8
1954,59
1837,47
1752,59.7
1948,30.2
1966,70
1725,21.1
1899,22.1
1888,112.5
1704,39.1
1831,64.8
1887,20.8
1960,86
1722,111.5
1806,141.2
1907,45.7
1719,25.1
1854,62.2
1882,56.1
1773,34.5
1965,55
1916,35.3
1776,53.3
1830,38.1
1906,26.2
1905,42.9
1898,17
1984,21
1805,94.5
1707,38.6
1785,47.5
1875,129.8
1735,93.7
1945,68.3
1825,2.8
1892,52.6
1920,111.8
1883,51.6
1873,52.6
1865,46.2
1807,21.6
1703,90.9
1796,61.5
1933,44.2
1762,21.1
1992,66.2
1995,28.9
1699,40.4
1885,11.9
1833,40.4
1781,29.2
1702,26.7
1798,93
1732,41.9
1914,49
1711,73.4
1738,31.2
1784,49.5
1876,22.9
1815,35.3
1988,74.2
1870,16.5
1720,111.8
1760,50.5
1993,54.4
1709,82.8
1910,63.2
1820,69.3
1829,137.4
1967,56
1775,127
1904,51.6
1893,46
1871,84.1
1812,55.1
1736,33
1832,22.6
1733,47.2
1757,45.2
1935,41.4
1800,0
1986,50
1890,115.1
1708,33.5
1782,184.1
1749,27.7
1953,92
1924,95.2
1714,38.1
1828,112.3
1827,33.8
1783,21.3
1976,25
1740,38.9
1840,43.4
1816,102.4
1710,56.9
1932,62.2
1788,52.1
1804,103.4
1931,73.9
1734,32.8
1938,25.9
1957,83
1886,60.7
1874,32
1797,64.5
1990,8
1811,103.9
1723,83.6
1810,93.7
1790,61.7
1917,114.3
1977,11
1897,23.6
1866,30.5
1765,13
1847,20.6
1763,77.7
1814,58.9
1923,82.8
1878,59.7
1741,45
1951,25
1989,35.5
1987,79
1858,66
1983,113
1747,33
1799,68.6
1881,49
1918,121.4
1895,114.3
1848,57.1
1839,75.4
1841,92.2
1919,67.3
1746,47.2
1894,111
1879,111
1767,103.4
1950,80.3
1947,35.8
1884,56.6
1955,10
1997,34.6
1748,23.4
1730,67.1
1868,41.1
1982,26
1973,54
1809,114.6
1946,79
1756,53.6
1869,22.4
1934,81
1835,10.9
1949,28.4
1922,83.8
1926,43.7
1777,109.7
1821,72.1
1750,51.8
1968,72
1859,59.7
1745,34.3
1930,46.7
1853,107.9
1846,46
1724,83.8
1913,48.5
1925,99.8
1852,58.9
1909,68.1
1902,28.7
1979,17
1855,163.1
1779,178.1
1927,76.2
1793,49
1959,40
1850,69.3
1771,39.9
1728,129.3
1822,74.9
1991,84.3
1929,65.8
1972,21
1744,23.9
1751,94.2
1780,41.4
1928,52.3
1860,71.6
1817,76.2
1731,59.7
1824,48.5
1971,25
1753,35.8
1794,11.4
1802,52.3
1774,63.5
1737,23.6
1964,50
1985,36
1758,129.8
1911,21.1
1856,30
1944,42.4
1896,32.8
1715,121.7
1826,52.8
1994,20.5
1766,143
1939,45.5
1713,109.5
1975,26
1755,55.9
1770,46
1921,3.8
1880,122.9
1940,68.3
1838,55.6
1867,91.7
1721,47.5
1849,72.9
1845,59.7
1778,107.4
1900,31.7
1754,36.8
1803,24.4
1712,73.9
1851,100.8
1999,8.6
1808,82
1981,60
1698,103.9
1996,28.6
1716,27.2
1912,42.7
1768,69.3
1980,73
1958,63
1791,73.7
1937,24.1
1863,19.3
1908,62
1769,49.3
1787,111.5
1956,151
1942,44.2
1764,69.8
1872,50.8
1836,46
1717,55.9
1718,33.5
1962,59
1701,57.7
1952,14
1901,53.1
1903,108.5
1891,74.9
1889,77.5
1759,24.9
1963,33
1801,113.5
1700,25.9
1742,49.8
1961,30
1915,106.9
1969,75
1864,17
1941,103.1
1795,47
1772,19.8
1739,67.1
