year,prec
1829,62.2
1815,42.2
1722,39.1
1801,22.9
1913,10.9
1748,57.1
1739,48.3
1742,52.8
1707,40.6
1998,89.6
1966,66
1887,30.7
1813,32.3
1941,49
1908,49.5
1929,22.4
1783,109.5
1751,42.2
1897,69.3
1860,135.9
1771,69.3
1926,86.1
1988,31
1775,36.1
1716,50.3
1774,49.5
1708,70.4
1932,6.6
1950,47
1903,183.1
1882,51.6
1927,64.3
1967,53
1976,8
1711,51.6
1852,121.4
1843,41.9
1840,38.4
1987,85
1786,61.5
1697,30
1765,25.1
1845,35.3
1749,37.6
1698,53.3
1935,85.6
1798,31.7
1823,35.3
1712,52.3
1855,38.4
1865,40.1
1907,71.4
1741,46.5
1816,73.2
1973,68
1961,35
1830,68.6
1780,26.4
1770,110
1769,90.9
1989,33.1
1943,32.5
1838,92.7
1720,47.5
1877,41.4
1808,38.6
1918,29.5
1785,55.9
1849,8.1
1763,32.3
1699,26.7
1955,55
1772,18.3
1921,5.1
1981,37
1724,55.9
1894,55.9
1717,44.7
1761,65.5
1858,29.2
1868,10.9
1999,98.2
1776,53.6
1824,79
1837,34.5
1975,17
1991,96.4
1736,69.1
1810,21.3
1789,105.2
1886,26.2
1904,27.9
1863,105.9
1811,55.1
1725,113.8
1996,9.5
1992,74
1764,30.2
1781,31.5
1900,53.3
1809,37.1
1980,103
1755,45.7
1842,40.9
1792,52.6
1915,14.7
1812,77
1793,17
1821,52.6
1777,96.3
1857,44.4
1740,26.2
1778,32
1979,43
1948,42.4
1767,61.7
1944,38.4
1876,37.3
1844,25.1
1731,72.9
1928,56.9
1814,58.7
1982,97
1747,91.4
1953,47
1715,99.3
1933,49
1916,54.9
1861,58.2
1977,55
1985,89
1719,53.1
1869,26.4
1832,73.4
1917,94.2
1782,20.6
1938,8.9
1873,75.9
1970,31
1912,81
1892,70.9
1995,20.9
1951,24
1701,35.3
1784,93.5
1972,18
1875,58.7
1872,36.1
1859,81
1796,17.5
1947,80.5
1825,22.4
1727,80
1919,30
1949,12.7
1931,42.2
1862,60.2
1922,24.9
1709,58.2
1750,30.2
1956,47
1703,88.6
1820,58.7
1826,9.7
1743,22.6
1879,96.3
1819,49.8
1723,27.9
1721,78.2
1968,52
1965,41
1791,13.5
1839,77.5
1937,46
1993,49.8
1864,52.3
1962,7
1754,53.1
1828,49.5
1971,131
1850,36.3
1753,20.6
1746,94.5
1737,39.9
1799,8.6
1893,21.8
1807,24.6
1994,18.2
1952,44
1732,29
1889,32.5
1934,25.4
1851,34.3
1997,78.6
1883,29.7
1895,8.4
1728,129.3
1936,89.7
1969,26
1930,33.3
1797,90.4
1766,75.9
1835,52.3
1901,32.8
1940,30.7
1880,54.1
1704,40.1
1706,53.3
1757,6.3
1884,55.6
1848,82.8
1714,30
1890,84.1
1759,74.2
1958,104
1920,78
1718,50.3
1983,10
1910,67.6
1752,55.6
1923,6.3
1705,20.1
1744,43.4
1738,92.7
1905,103.1
1846,20.6
1773,77.5
1957,25
1911,50.3
1805,93
1945,44.7
1803,115.3
1891,40.4
1756,61.5
1700,46.5
1735,62.2
1760,63.8
1758,48.3
1874,64.5
1710,40.4
1899,34.3
1817,28.7
1804,10.4
1788,80.5
1990,44
1854,39.6
1974,62
1870,14.2
1730,105.4
1924,87.6
1745,106.9
1925,1
1734,94.7
1713,77.5
1836,42.9
1885,47
1779,71.6
1984,34
1768,124.2
1898,35.3
1963,49
1888,59.7
1834,42.4
1831,35.3
1833,68.1
1762,42.2
1939,29.2
1827,21.1
1946,70.6
1906,72.1
1790,21.1
1800,30.5
1881,41.1
1733,81.5
1878,69.8
1986,17
1702,82.3
1729,33.8
1787,20.6
1867,34.5
1726,95.2
1841,63.5
1902,94.2
1909,86.6
1914,58.2
1960,31
1954,102
1866,102.1
1978,41
1964,98
1802,68.3
1794,6.6
1818,10.7
1822,15.2
1806,19.6
1856,22.6
1853,65.8
1795,112.8
1896,41.4
1959,15
1847,33.8
1942,36.1
1871,81.3
