year,prec
1913,53.1
1776,41.9
1915,20.3
1824,44.2
1869,26.9
1878,28.4
1775,54.9
1942,42.2
1819,31
1857,31
1716,11.9
1730,100.8
1708,61.5
1943,8.6
1930,37.6
1812,55.1
1907,22.6
1788,14.7
1845,32.3
1934,53.8
1905,80.8
1914,100.1
1873,34.3
1785,9.7
1799,26.2
1937,70.1
1739,38.1
1801,40.1
1732,37.1
1854,10.9
1762,52.1
1940,86.1
1741,12.4
1701,23.9
1816,43.7
1727,58.9
1953,11
1848,79
1818,82.5
1777,38.4
1993,18.7
1771,24.9
1726,40.9
1867,50.3
1851,92.5
1986,47
1747,29.7
1931,8.1
1821,69.6
1992,40.7
1751,87.6
1837,14.2
1920,29.7
1814,34.3
1706,45
1971,42
1831,49
1954,49
1787,43.9
1757,41.7
1806,55.4
1744,39.4
1738,69.1
1822,37.8
1736,52.6
1760,14.2
1817,56.6
1858,35.3
1710,34.3
1698,56.9
1779,15
1834,22.4
1990,5
1713,19
1813,20.6
1995,51.8
1740,23.6
1961,4
1960,40
1906,26.2
1991,25.6
1847,10.7
1742,2.5
1938,6.6
1758,40.1
1892,26.7
1807,17
1962,34
1897,90.9
1929,0.8
1883,25.9
1983,38
1969,56
1896,73.2
1852,6.3
1978,53
1722,55.9
1723,14
1753,33
1783,25.4
1881,50.3
1843,12.2
1841,34.3
1882,31.2
1872,44.2
1912,69.1
1909,69.3
1714,36.3
1936,22.9
1791,24.6
1988,66.6
1805,30.2
1860,42.2
1886,36.6
1784,71.1
1823,31.5
1889,34.5
1980,65
1979,90
1780,37.1
1973,14
1789,57.9
1901,51.3
1810,69.1
1748,63.2
1711,43.9
1734,52.8
1875,15.5
1803,17.5
1890,38.9
1729,31.7
1925,11.2
1798,21.1
1987,49
1939,25.4
1911,33.3
1876,70.1
1949,23.4
1829,19.6
1871,25.1
1891,33.5
1699,34.3
1950,16.5
1895,31.2
1840,7.4
1908,61.2
1773,6.3
1984,66
1702,14.5
1802,10.9
1898,29.7
1797,39.9
1793,51.1
1997,11.4
1842,46.7
1703,29
1902,44.4
1718,50.3
1769,22.9
1743,46.2
1977,50
1967,36
1963,58
1994,46.9
1808,10.4
1900,23.6
1827,64.5
1759,59.9
1792,61.5
1856,24.1
1968,23
1921,33.8
1965,46
1721,27.9
1763,35.1
1735,67.1
1770,40.6
1764,24.9
1700,9.4
1809,31.2
1868,24.1
1879,24.6
1746,49
1918,22.9
1704,97.5
1955,23
1904,32.5
1919,77.7
1752,31.2
1794,40.9
1888,77.7
1833,31.7
1880,17.5
1864,66.8
1946,29.7
1709,49.5
1935,9.4
1737,78.2
1707,15
1976,9
1862,113.5
1966,11
1877,55.9
1768,2.8
1952,69
1774,56.4
1838,21.8
1982,52
1932,32.8
1846,28.2
1989,60.5
1804,69.8
1767,49.8
1761,17.8
1972,50
1836,85.3
1887,38.9
1859,37.3
1926,4.8
1835,51.8
1754,51.8
1750,26.7
1766,62.7
1705,33.8
1728,69.8
1975,72
1863,17.3
1795,58.9
1985,38
1719,50.3
1870,45.2
1778,36.8
1861,58.4
1996,29.1
1933,55.1
1712,44.2
1893,10.7
1928,43.9
1849,22.1
1772,51.6
1916,100.3
1998,51.1
1941,81.5
1850,3.3
1828,15
1853,38.4
1826,41.4
1885,37.3
1781,2.3
1855,45.2
1756,64.3
1958,28
1922,42.9
1957,26
1874,10.9
1786,30.5
1866,31.2
1832,38.1
1903,59.7
1999,25.6
1755,33
1811,15
1815,50.3
1790,5.1
1715,76.5
1749,44.4
1765,90.7
1717,72.6
1745,71.6
1894,30.7
1981,92
1830,4.8
1796,2.3
1725,10.7
1825,26.4
1959,40
1970,43
1948,14.7
1733,66
1865,20.6
1964,83
1910,24.4
1974,30
1844,63.2
1923,52.6
1927,55.6
1884,31.2
1899,14.2
1839,43.4
1720,53.1
1944,2.3
1697,16.5
1945,20.3
1800,29.2
1731,5.3
1956,19
1917,44.2
1724,50.3
1820,6.9
1782,72.1
1951,73
1924,21.6
1947,118.4
