year,prec
1800,51.3
1760,30.2
1818,47
1745,26.9
1964,43
1892,37.3
1817,93
1852,45
1782,110.5
1837,28.2
1843,136.1
1750,35.3
1827,57.9
1844,6.3
1743,26.4
1838,23.4
1832,54.9
1716,57.7
1857,16.8
1950,43.7
1777,140
1727,107.9
1872,72.4
1993,40.2
1942,76.2
1929,32.3
1918,46.2
1934,11.2
1984,76
1802,49.8
1903,85.1
1744,13.5
1938,33
1831,56.9
1847,41.1
1767,72.9
1899,37.3
1955,94
1784,36.8
1871,20.6
1890,35.8
1828,35.8
1987,52
1917,51.8
1833,17.5
1895,8.4
1751,59.2
1736,35.1
1729,42.4
1821,44.2
1730,49
1863,35.3
1926,43.9
1971,67
1877,44.4
1889,77.5
1875,37.3
1734,123.4
1741,81.5
1702,39.4
1885,73.7
1724,33.5
1953,39
1973,57.4
1906,45.7
1763,24.9
1919,9.1
1956,6
1768,28.4
1814,66.5
1779,53.6
1834,31
1776,44.7
1825,68.8
1988,62.2
1757,30.7
1792,55.1
1975,67
1876,19.8
1748,23.1
1959,13
1704,13.5
1874,15.2
1981,76
1943,47.8
1996,27.4
1921,24.9
1820,65.3
1731,9.7
1989,8
1962,40
1804,47.2
1723,22.4
1856,106.4
1801,64
1901,11.4
1774,49.8
1742,38.1
1911,39.4
1698,73.4
1957,27
1888,28.7
1868,19.6
1961,24
1900,25.1
1793,27.4
1735,61
1733,17
1994,85.7
1954,45
1720,61.5
1813,61
1978,89
1836,26.2
1965,35
1746,42.4
1822,40.4
1951,51
1867,31
1947,34.3
1862,95.8
1812,71.9
1726,50
1915,80.3
1797,55.1
1706,56.1
1769,56.6
1846,35.1
1796,71.9
1916,42.2
1859,47
1842,44.7
1738,34.5
1725,77.5
1809,11.7
1699,16.5
1705,12.4
1952,60
1999,35.8
1781,19.6
1908,33.8
1870,20.8
1880,7.4
1920,38.4
1991,16.9
1754,30.2
1785,22.1
1755,47.5
1977,36
1710,42.4
1933,46.5
1788,19.6
1840,56.4
1891,64.3
1902,62.2
1780,25.9
1944,17.5
1873,34.3
1886,99.3
1937,54.6
1884,16
1878,104.1
1866,33.5
1928,44.7
1773,98.6
1732,104.9
1958,60
1762,12.4
1715,28.7
1976,22
1759,28.2
1898,62.2
1823,30.7
1718,44.7
1982,64
1924,61.5
1851,19
1963,47
1795,9.4
1711,54.6
1739,61.5
1765,34.3
1708,61.2
1839,21.1
1970,20
1986,56
1854,104.4
1752,45.5
1811,86.1
1879,99.8
1764,35.6
1869,77.7
1948,56.4
1756,12.4
1935,35.3
1766,88.6
1789,56.6
1719,33.5
1807,74.7
1913,45
1703,126
1968,64
1737,41.4
1805,32.8
1864,40.4
1712,55.1
1883,46.5
1936,13
1907,42.7
1894,39.9
1997,28.2
1893,35.6
1909,40.6
1992,68
1819,72.9
1786,26.7
1787,41.4
1932,102.4
1940,30.7
1865,83.1
1910,46.7
1707,32
1983,80
1830,64.5
1713,57.7
1717,36.3
1980,30
1939,35.3
1923,52.3
1749,27.7
1824,91.2
1941,47.5
1995,39.8
1747,15.2
1914,44.4
1967,98
1806,27.7
1816,58.7
1845,74.7
1998,31.9
1949,58.4
1881,28.7
1758,31
1835,88.9
1761,78.7
1925,48.5
1979,101
1904,67.3
1803,47.2
1905,19
1770,40.4
1771,35.6
1972,25
1791,23.9
1850,47.5
1772,40.9
1740,30.7
1927,27.7
1848,7.4
1790,100.1
1922,25.9
1798,37.8
1896,4.8
1721,36.3
1946,87.9
1753,38.4
1709,61.2
1714,17
1794,65.3
1808,41.7
1897,24.1
1700,42.2
1775,21.8
1853,41.4
1945,61.2
1990,2
1701,55.6
1966,49
1931,63
1799,54.9
1861,26.9
1810,24.1
1783,64.8
1728,45.5
1815,38.6
1697,19.6
1930,88.1
1887,41.4
1841,55.9
1855,50.3
1849,91.4
1985,59
1974,25
1882,33.3
1912,32.8
1829,13.7
1826,61
1722,50.3
1969,53
1960,42
1858,55.1
1778,31.7
1860,65
