year,prec
1949,54.9
1997,47.1
1891,48.8
1877,87.1
1987,52
1720,55.9
1699,11.9
1715,52.1
1854,33.8
1872,71.4
1865,47.2
1714,21.3
1988,18.1
1961,46.2
1861,100.6
1933,23.9
1898,52.3
1834,45.5
1737,21.8
1971,67
1801,101.9
1831,43.7
1956,10
1977,52
1995,26.3
1803,99.1
1707,35.8
1722,50.3
1906,98.6
1873,49
1767,35.8
1888,98.6
1739,81.5
1729,68.3
1784,85.1
1716,26.9
1892,68.8
1940,171.7
1919,26.7
1765,55.9
1878,62.2
1759,29.5
1820,29.7
1830,79.8
1769,41.9
1983,41
1819,47
1776,54.6
1982,71
1945,7.4
1955,23
1931,54.4
1709,84.3
1712,74.7
1749,6.9
1711,74.9
1917,33.5
1724,36.3
1954,94
1717,111.5
1900,43.4
1934,44.7
1824,105.7
1817,31.7
1822,105.2
1894,75.7
1864,49
1973,29
1959,60
1763,73.7
1799,48
1889,20.6
1882,59.7
1758,58.2
1913,57.4
1858,9.7
1942,50.3
1980,27
1922,36.1
1853,23.6
1845,54.6
1732,38.6
1741,60.2
1941,64.3
1747,46.7
1756,33.3
1775,62.2
1989,23.1
1719,55.9
1899,101.1
1993,34.6
1868,23.4
1762,42.7
1981,37
1750,84.8
1914,75.7
1745,68.3
1771,20.6
1748,15
1773,116.6
1936,70.9
1935,110.5
1738,57.7
1753,62
1939,112.5
1840,93
1697,34.3
1965,72
1921,43.2
1972,56
1809,42.4
1725,32.8
1929,122.7
1857,37.3
1975,64
1833,61.7
1911,86.4
1795,82
1994,39.8
1841,88.1
1813,31.5
1984,71
1874,55.1
1863,48.8
1875,74.4
1957,58
1850,52.6
1847,58.4
1777,27.2
1796,39.4
1884,41.9
1744,42.4
1766,26.9
1728,60.7
1839,110.5
1953,38
1782,28.2
1916,99.3
1992,94.2
1968,38
1783,44.7
1814,61.7
1859,66
1974,138
1896,27.7
1736,24.1
1706,77.5
1843,55.1
1755,189
1798,106.7
1772,74.7
1944,86.9
1870,34.5
1886,78
1806,91.7
1740,77.2
1938,66
1778,105.4
1897,22.9
1768,62.2
1883,63.8
1856,26.7
1743,29
1770,127.5
1871,12.4
1730,43.9
1838,90.2
1951,134
1774,47.5
1800,112.3
1966,33
1761,48.8
1960,96.3
1754,67.6
1925,37.6
1815,33.5
1979,53
1879,19.6
1887,77.5
1908,17.3
1969,81
1821,128.8
1701,50
1836,93.2
1823,40.4
1804,116.8
1827,27.4
1902,39.9
1952,89
1986,79
1733,16
1746,40.6
1895,86.9
1705,35.6
1947,27.2
1735,80.5
1835,51.1
1702,85.1
1760,37.3
1704,54.4
1905,78.7
1785,37.1
1787,43.4
1903,45.5
1829,48.8
1932,25.7
1937,35.1
1757,54.4
1786,63.2
1752,31.5
1700,32
1912,42.4
1893,46.5
1825,88.4
1924,57.9
1734,52.3
1790,89.4
1742,70.9
1837,34.8
1881,59.9
1923,37.3
1805,27.9
1862,23.1
1849,34.3
1867,19.8
1713,38.9
1727,11.2
1880,45.5
1943,33.3
1789,37.8
1779,81.3
1698,102.4
1996,103.4
1866,32.3
1764,44.4
1731,42.4
1962,51
1848,23.4
1808,62.7
1967,35
1999,31.2
1998,57
1926,130
1904,44.2
1826,73.9
1797,50.5
1807,96.3
1907,52.8
1832,49.3
1946,103.1
1927,68.3
1726,36.8
1810,156.2
1910,79
1876,67.3
1811,62.2
1780,72.9
1909,17.8
1793,80
1846,37.1
1860,49.8
1852,160.5
1818,66.8
1885,74.9
1812,58.4
1816,59.4
1708,26.2
1828,28.7
1842,114.6
1844,79.2
1915,60.2
1964,34
1970,157
1855,34.8
1920,33.5
1963,114
1991,56.9
1703,44.2
1948,40.4
1990,35
1950,104.6
1781,93.2
1901,11.9
1788,17
1794,118.4
1802,40.4
1978,13
1851,14.2
1985,44
1928,46
1930,97.8
1958,48
1792,15.2
1718,103.1
1710,58.4
1723,33.5
1918,53.3
1890,38.9
1721,97.5
1751,103.6
1976,82
1869,57.7
1791,89.9
