year,prec
1838,59.9
1841,119.4
1872,110.7
1911,76.2
1830,25.7
1870,65.3
1948,46.5
1854,67.6
1975,21
1984,81
1996,37.2
1771,83.1
1917,86.6
1715,85.9
1772,64
1774,35.1
1759,67.8
1861,19
1970,15
1862,81.8
1972,16
1734,62
1850,40.1
1821,87.6
1943,64
1801,41.7
1726,27.4
1832,78.5
1739,18.5
1901,48
1887,36.8
1954,44
1756,79.2
1714,28.2
1945,52.8
1958,51
1961,53.6
1728,64.3
1924,92.2
1779,83.3
1789,103.4
1828,30.2
1769,31.7
1927,32.3
1753,30.5
1785,73.7
1732,89.4
1819,43.4
1987,158
1729,39.9
1877,50.5
1930,27.2
1912,57.9
1822,109
1881,61.2
1747,18.8
1746,43.4
1751,41.9
1820,58.7
1978,2
1855,159.3
1906,80.8
1836,93.5
1795,85.6
1915,49
1966,100
1768,83.1
1988,56.8
1989,47.2
1709,75.9
1921,11.2
1897,14.5
1763,40.9
1920,42.7
1849,56.4
1993,84
1938,52.1
1997,44.9
1710,52.6
1754,56.6
1750,52.6
1909,91.4
1843,108.5
1791,66.3
1755,40.1
1848,75.9
1806,32
1969,4
1823,71.1
1845,36.1
1874,94.7
1992,67.6
1712,67.8
1773,50.3
1765,118.1
1981,81
1990,44
1775,66
1986,78
1725,34.5
1703,58.2
1705,97.8
1959,48
1711,67.6
1995,14.1
1835,106.7
1700,104.1
1968,52
1902,35.3
1853,97.8
1896,60.7
1913,85.9
1888,33.8
1886,53.1
1805,57.4
1852,100.1
1702,48
1815,75.4
1740,18
1918,28.7
1787,64.5
1837,63.2
1803,13.2
1831,98
1808,96
1991,19
1928,92.2
1792,71.6
1951,21
1922,19
1903,139.4
1923,135.4
1934,22.1
1985,15
1965,21
1964,31
1780,82.5
1998,103.8
1738,100.3
1884,28.2
1716,96.5
1863,51.8
1883,44.7
1867,41.1
1982,113
1708,6.9
1999,49.2
1723,36.3
1811,84.6
1919,14.5
1741,70.1
1944,68.8
1752,9.4
1889,99.1
1904,41.4
1833,61.5
1859,64.3
1976,95
1939,124.7
1766,60.7
1962,55
1910,55.1
1979,68
1875,97.3
1834,11.2
1908,55.1
1707,39.9
1925,78
1829,41.9
1871,33.3
1758,36.6
1973,25
1720,83.8
1899,51.6
1776,19.8
1865,156.2
1860,31
1721,69.8
1942,87.1
1977,54
1748,38.4
1762,140.7
1704,24.6
1794,98.8
1960,132.3
1895,75.9
1781,8.6
1722,50.3
1744,169.9
1840,35.1
1790,42.2
1783,19.8
1810,53.1
1963,38
1914,30.2
1706,69.3
1735,29.2
1699,81.8
1737,73.2
1882,147.1
1724,33.5
1955,60
1916,93.2
1907,92.7
1770,60.7
1778,78.5
1949,133.1
1812,112
1793,34.5
1876,38.1
1869,36.6
1809,5.1
1947,3.8
1846,143.5
1767,58.4
1937,60.2
1799,73.7
1816,62.2
1730,69.1
1892,95.8
1718,75.4
1941,19.3
1817,34.5
1878,53.3
1786,101.6
1856,65
1804,85.1
1879,24.6
1777,94.2
1900,40.9
1813,131.1
1891,150.6
1782,54.9
1844,106.9
1749,58.9
1935,50.3
1798,98
1698,79.8
1974,69
1857,113.3
1701,62.2
1851,52.1
1946,33.8
1797,57.1
1873,72.6
1940,61.2
1864,32.5
1818,33.8
1971,54
1802,56.4
1717,55.9
1719,47.5
1885,98
1842,44.2
1956,54
1757,37.8
1847,45.2
1950,14.5
1839,57.7
1742,53.1
1784,22.4
1926,51.8
1760,81.5
1953,58
1826,54.6
1764,41.1
1697,51.1
1893,104.4
1905,31
1796,58.4
1800,32
1825,67.3
1745,79.8
1743,46.2
1807,59.2
1868,57.7
1931,16.5
1733,27.9
1929,69.3
1713,46.7
1761,67.1
1824,79.5
1957,47
1890,26.2
1994,85.5
1731,40.4
1858,46.7
1936,45.5
1894,98.8
1788,2.8
1952,68
1880,151.1
1932,127
1983,39
1727,48.3
1933,36.6
1736,79.8
1980,102
1898,84.8
1967,90
1827,105.2
1814,61
1866,41.4
