year,prec
1758,30
1840,63.5
1728,47.2
1949,8.9
1939,23.1
1819,95.5
1864,63.5
1933,69.1
1782,63
1718,44.7
1814,32
1746,42.7
1849,64.5
1804,9.7
1947,29.7
1783,117.9
1813,43.2
1918,145
1827,87.4
1890,15
1845,45.7
1766,11.9
1789,62
1731,16.8
1904,42.9
1825,70.9
1807,75.9
1962,72
1931,53.1
1944,56.6
1986,26
1856,48.8
1908,35.8
1796,49.8
1895,38.9
1874,71.1
1740,48
1911,34.5
1747,63
1712,59.9
1983,44
1855,29.7
1809,82
1798,80.5
1995,83.8
1710,46.5
1737,116.1
1707,87.6
1879,66.8
1961,54.4
1914,25.4
1700,89.9
1917,52.3
1923,35.1
1719,27.9
1993,127.2
1981,90
1715,55.9
1946,87.9
1704,45.2
1950,62.2
1912,54.4
1697,63.5
1735,46.7
1792,75.9
1959,3
1802,17
1743,3.3
1771,32.8
1830,83.8
1784,44.4
1970,57
1984,80
1800,73.7
1709,67.3
1806,57.1
1723,22.4
1805,51.3
1835,120.9
1844,33.8
1779,67.6
1936,71.4
1996,19.2
1901,38.6
1701,34.3
1866,91.2
1770,68.1
1761,71.6
1887,55.1
1870,34.8
1929,4.1
1997,6.8
1915,59.2
1909,63.2
1847,42.9
1907,13.5
1848,56.9
1708,44.2
1772,65
1888,36.6
1774,103.4
1862,66
1892,77.2
1818,65.5
1922,39.6
1980,25
1899,53.6
1885,110
1793,79.5
1776,80.5
1841,96
1958,101
1790,13.5
1935,64.8
1951,53
1765,30.2
1976,107
1698,73.7
1900,26.4
1795,3
1893,27.9
1721,78.2
1739,84.3
1759,33.5
1732,30.5
1727,49
1738,68.3
1875,50.5
1729,98.3
1757,31.2
1703,90.7
1941,8.9
1954,40
1744,86.9
1868,56.9
1877,17.8
1878,24.9
1741,72.9
1896,136.1
1965,107
1837,24.1
1787,27.2
1989,9.5
1764,33
1963,57
1828,103.1
1751,67.1
1780,86.4
1794,110.2
1916,41.1
1998,101.2
1702,49
1785,75.4
1969,3
1926,37.3
1873,59.7
1852,91.7
1786,60.5
1977,13
1788,108.2
1714,34.5
1881,56.1
1884,49
1752,32
1972,28
1971,15
1891,26.2
1823,47.8
1769,127.8
1978,17
1734,29.5
1730,58.9
1988,31.9
1865,11.9
1762,47.2
1824,84.6
1872,34.8
1894,34.8
1843,25.4
1991,66.9
1924,74.9
1913,48
1767,45.5
1903,82
1871,99.3
1763,58.4
1968,122
1973,71
1994,75.5
1754,1.8
1938,49.3
1742,61.7
1839,101.3
1831,108.2
1821,60.7
1753,15.2
1733,42.2
1889,39.9
1883,83.1
1910,11.4
1920,62.2
1791,11.9
1886,45.2
1820,79
1957,61
1748,26.4
1768,144.8
1816,50
1756,30.5
1720,53.1
1906,44.4
1982,49
1854,15
1928,26.2
1717,55.9
1799,106.7
1905,44.4
1842,87.6
1749,56.1
1750,45
1711,59.7
1859,111.5
1822,31
1940,34.8
1999,86.7
1992,77.8
1966,28
1876,62.2
1773,74.2
1932,58.9
1919,36.8
1897,49.5
1745,29.7
1953,51
1826,95
1861,46.5
1808,81.5
1755,50.8
1860,51.3
1713,15.5
1797,140.5
1930,64.3
1925,63.5
1974,124
1945,42.7
1832,28.4
1902,64
1725,74.7
1775,147.3
1801,50.5
1736,36.6
1990,22
1964,10
1937,51.6
1867,57.4
1817,29.7
1838,52.8
1979,18
1810,40.4
1942,26.4
1985,9
1706,61.5
1948,31.5
1853,62.2
1811,37.8
1858,27.2
1699,49
1778,20.6
1777,17
1760,73.4
1716,59.9
1960,87
1812,16.3
1850,61.2
1921,44.7
1829,97.3
1956,51
1955,45
1803,16.8
1857,96.3
1880,112.5
1882,59.9
1726,138.9
1851,10.9
1724,53.1
1836,98.3
1987,49
1952,65
1846,45.5
1975,120
1898,10.7
1927,114
1815,31.2
1934,32
1781,53.1
1943,57.2
1967,57
1833,40.1
1834,21.6
1863,71.6
1722,11.2
1705,12.4
1869,95.2
