date	daytype	seconds	miles	tips	total	payment_type	speed
2019-09-09	weekday	601	1.56	2	10.25	Credit	9.3444260
2019-08-29	weekday	346	0.73	2	8.25	Credit	7.5953757
2019-02-22	weekend	931	3.29	0	13.75	Cash	12.721805
2019-05-30	weekday	252	0.7	0	5.25	Cash	10.000000
2019-07-21	weekday	393	1.12	0	7.25	Cash	10.259542
2019-11-30	weekend	1320	1.1	1	46.25	Credit	3.0000000
2019-10-15	weekday	246	0.5	0	4.75	Cash	7.3170732
2019-02-02	weekend	680	2.02	2	11.75	Credit	10.694118
2019-08-17	weekend	686	3	0	13.5	Cash	15.743440
2019-07-26	weekend	240	0.6	0	5	Cash	9
2019-08-30	weekend	2820	18.2	0	46.75	Cash	23.234043
2019-02-21	weekday	652	1.67	3	12	Credit	9.2208589
2019-02-10	weekday	443	0.5	0	7.75	Cash	4.0632054
2019-10-16	weekday	602	1.2	4	12	Credit	7.1760797
2019-04-30	weekday	480	1.5	0	7.5	Cash	11.250000
2019-09-29	weekday	600	0.1	0	10.25	Cash	0.60000000
2019-03-08	weekend	480	1.9	3	11.75	Credit	14.250000
2019-10-19	weekend	480	3.2	0	10.75	Cash	24
2019-05-25	weekend	675	1.54	0	9.5	Cash	8.2133333
2019-07-26	weekend	240	1.2	0	6	Cash	18
2019-02-26	weekday	1680	16.3	11.56	57.81	Credit	34.928571
2019-12-15	weekday	480	2	0	8.75	Cash	15
2019-06-28	weekend	1118	0.81	3	14	Credit	2.6082290
2019-02-16	weekend	1295	16.97	9.25	55.5	Credit	47.175290
2019-04-24	weekday	135	0.54	2	7	Credit	14.400000
2019-04-19	weekend	540	0.7	0	6.75	Cash	4.6666667
2019-11-09	weekend	300	0.5	0	5.5	Cash	6
2019-09-15	weekday	573	1.5	2	10.25	Credit	9.4240838
2019-11-19	weekday	720	2	0	9.25	Cash	10
2019-07-26	weekend	780	3.3	3.82	16.57	Credit	15.230769
2019-07-17	weekday	1283	8.84	0	26.75	Cash	24.804365
2019-09-05	weekday	1620	4.3	5.15	21.9	Credit	9.5555556
2019-01-12	weekend	283	0.92	0	6	Cash	11.703180
2019-02-28	weekday	1260	3.6	2.8	16.8	Credit	10.285714
2019-04-29	weekday	635	3.5	0	13	Cash	19.842520
2019-06-20	weekday	784	1.56	1.71	10.96	Credit	7.1632653
2019-02-22	weekend	360	0.7	2	8.25	Credit	7.0000000
2019-11-21	weekday	184	0.72	0	5	Cash	14.086957
2019-06-12	weekday	260	0.7	0	5.25	Cash	9.6923077
2019-08-24	weekend	840	3.1	0	13.75	Cash	13.285714
2019-02-27	weekday	528	1.48	1	9	Credit	10.090909
2019-03-08	weekend	159	0.2	0	5	Cash	4.5283019
2019-03-19	weekday	600	3.3	0	12	Cash	19.800000
2019-04-09	weekday	2280	10.5	7	41.25	Credit	16.578947
2019-02-13	weekday	356	0.82	0	5.75	Cash	8.2921348
2019-04-25	weekday	660	2.2	0	9.25	Cash	12.000000
