trial,group,ID,ID unique,boldness,exploration,sperm number (10^6),sperm velocity
2,1,1,1.01,0.006711409,95,6.425,111.6334531
1,1,1,1.01,0.003333333,10,6.425,111.6334531
3,1,1,1.01,0.003333333,25,6.425,111.6334531
1,1,10,1.1,0.018181818,238,2.725,108.8625467
2,1,10,1.1,0.003333333,1,2.725,108.8625467
3,1,10,1.1,0.003333333,3,2.725,108.8625467
1,1,11,1.11,0.011904762,278,2.75,123.5659567
3,1,11,1.11,0.003333333,253,2.75,123.5659567
2,1,11,1.11,0.003333333,256,2.75,123.5659567
1,1,12,1.12,0.005813953,12,4.275,119.2241189
2,1,12,1.12,0.005555556,6,4.275,119.2241189
3,1,12,1.12,0.004784689,4,4.275,119.2241189
1,1,13,1.13,0.003333333,145,0.26,141.1752001
3,1,13,1.13,0.003333333,7,0.26,141.1752001
2,1,13,1.13,0.003333333,50,0.26,141.1752001
1,1,14,1.14,0.033333333,40,3.475,140.8088308
2,1,14,1.14,0.003333333,83,3.475,140.8088308
3,1,14,1.14,0.003333333,13,3.475,140.8088308
2,1,15,1.15,0.0078125,1,4.775,119.0010809
1,1,15,1.15,0.004878049,31,4.775,119.0010809
3,1,15,1.15,0.004504505,180,4.775,119.0010809
1,1,2,1.2,0.03030303,72,4.225,148.2274468
2,1,2,1.2,0.006756757,5,4.225,148.2274468
3,1,2,1.2,0.003333333,132,4.225,148.2274468
1,1,3,1.3,0.003333333,9,0.585,111.3935978
2,1,3,1.3,0.003333333,13,0.585,111.3935978
3,1,3,1.3,0.003333333,36,0.585,111.3935978
1,1,4,1.4,0.022727273,20,1.215,116.8634066
3,1,4,1.4,0.007936508,114,1.215,116.8634066
2,1,4,1.4,0.003333333,225,1.215,116.8634066
1,1,5,1.5,0.014084507,250,3.39,141.2124539
2,1,5,1.5,0.007874016,15,3.39,141.2124539
3,1,5,1.5,0.003378378,12,3.39,141.2124539
1,1,6,1.6,1,177,2.925,126.4777707
3,1,6,1.6,0.016393443,83,2.925,126.4777707
2,1,6,1.6,0.003333333,209,2.925,126.4777707
1,1,7,1.7,0.016393443,293,4.15,135.5501519
2,1,7,1.7,0.008474576,269,4.15,135.5501519
3,1,7,1.7,0.005952381,137,4.15,135.5501519
3,1,8,1.8,0.023809524,30,2.85,101.1255582
1,1,8,1.8,0.016129032,235,2.85,101.1255582
2,1,8,1.8,0.003333333,93,2.85,101.1255582
1,1,9,1.9,0.004201681,211,1.14,143.1706104
2,1,9,1.9,0.003436426,236,1.14,143.1706104
3,1,9,1.9,0.003333333,104,1.14,143.1706104
1,2,1,2.01,0.023809524,281,4.3,126.388377
2,2,1,2.01,0.005617978,149,4.3,126.388377
3,2,1,2.01,0.003344482,147,4.3,126.388377
1,2,10,2.1,0.010309278,212,1.44,129.5291237
3,2,10,2.1,0.004424779,1,1.44,129.5291237
2,2,10,2.1,0.003333333,25,1.44,129.5291237
1,2,11,2.11,0.014285714,206,4.125,142.5418899
2,2,11,2.11,0.003676471,160,4.125,142.5418899
3,2,11,2.11,0.003333333,1,4.125,142.5418899
1,2,12,2.12,0.003333333,1,1.56,130.1817494
3,2,12,2.12,0.003333333,5,1.56,130.1817494
2,2,12,2.12,0.003333333,90,1.56,130.1817494
1,2,13,2.13,0.006802721,206,3.7,125.0299763
2,2,13,2.13,0.003412969,1,3.7,125.0299763
3,2,13,2.13,0.003333333,24,3.7,125.0299763
1,2,14,2.14,0.00621118,230,0.75,145.8730774
2,2,14,2.14,0.003333333,22,0.75,145.8730774
3,2,14,2.14,0.003333333,58,0.75,145.8730774
1,2,15,2.15,0.003333333,20,1.42,138.7678103
3,2,15,2.15,0.003333333,4,1.42,138.7678103
2,2,15,2.15,0.003333333,20,1.42,138.7678103
2,2,2,2.2,1,64,3.4,109.2248998
1,2,2,2.2,0.004132231,10,3.4,109.2248998
3,2,2,2.2,0.003333333,99,3.4,109.2248998
2,2,3,2.3,0.035714286,156,1.9,154.2221278
1,2,3,2.3,0.022222222,249,1.9,154.2221278
3,2,3,2.3,0.016666667,125,1.9,154.2221278
1,2,4,2.4,0.011494253,258,3.9,93.02116962
2,2,4,2.4,0.007042254,59,3.9,93.02116962
3,2,4,2.4,0.006060606,3,3.9,93.02116962
1,2,5,2.5,0.011111111,128,4.04,95.50924492
3,2,5,2.5,0.004901961,11,4.04,95.50924492
2,2,5,2.5,0.003831418,2,4.04,95.50924492
2,2,6,2.6,0.003623188,194,2.205,138.5834885
1,2,6,2.6,0.003333333,199,2.205,138.5834885
3,2,6,2.6,0.003333333,190,2.205,138.5834885
2,2,7,2.7,0.006451613,6,0.73,124.6887266
3,2,7,2.7,0.003533569,12,0.73,124.6887266
1,2,7,2.7,0.003333333,211,0.73,124.6887266
3,2,8,2.8,0.017857143,103,0.94,142.8995283
1,2,8,2.8,0.017241379,140,0.94,142.8995283
2,2,8,2.8,0.014925373,85,0.94,142.8995283
1,2,9,2.9,0.00877193,28,0.39,113.9265184
3,2,9,2.9,0.005347594,2,0.39,113.9265184
2,2,9,2.9,0.003333333,1,0.39,113.9265184
2,3,1,3.01,0.025,1,4.6,105.9756739
1,3,1,3.01,0.003333333,114,4.6,105.9756739
3,3,1,3.01,0.003333333,150,4.6,105.9756739
2,3,10,3.1,0.011363636,1,4.66,108.1938603
1,3,10,3.1,0.011111111,49,4.66,108.1938603
3,3,10,3.1,0.003472222,1,4.66,108.1938603
1,3,11,3.11,0.003333333,51,3.875,66.90356502
2,3,11,3.11,0.003333333,28,3.875,66.90356502
3,3,11,3.11,0.003333333,29,3.875,66.90356502
1,3,12,3.12,0.018867925,244,7.35,52.61222933
2,3,12,3.12,0.016949153,256,7.35,52.61222933
3,3,12,3.12,0.015873016,258,7.35,52.61222933
3,3,13,3.13,0.008695652,1,1.46,131.7223763
1,3,13,3.13,0.006493506,34,1.46,131.7223763
2,3,13,3.13,0.003333333,116,1.46,131.7223763
1,3,14,3.14,0.003333333,35,3.025,148.7903613
2,3,14,3.14,0.003333333,45,3.025,148.7903613
3,3,14,3.14,0.003333333,180,3.025,148.7903613
