"IDProducto","Descripcion","Precio","Fecha"
"22809-6","SET OF 6 T-LIGHTS SANTA-6",2.95,40513.5444444444
"84347-6","ROTATING SILVER ANGELS T-LIGHT HLDR-6",2.55,40513.5444444444
"84945-12","MULTI COLOUR SILVER T-LIGHT HOLDER-12",0.85,40513.5444444444
"22242-12","5 HOOK HANGER MAGIC TOADSTOOL-12",1.65,40513.5444444444
"22244-12","3 HOOK HANGER MAGIC GARDEN-12",1.95,40513.5444444444
"22243-12","5 HOOK HANGER RED MAGIC TOADSTOOL-12",1.65,40513.5444444444
"47421-24","ASSORTED COLOUR LIZARD SUCTION HOOK-24",0.42,40513.5444444444
"20712-10","JUMBO BAG WOODLAND ANIMALS-10",1.95,40513.5444444444
"20713-10","JUMBO BAG OWLS-10",1.95,40513.5444444444
"22837-4","HOT WATER BOTTLE BABUSHKA -4",4.65,40513.5444444444
"22969-12","HOMEMADE JAM SCENTED CANDLES-12",1.45,40513.5444444444
"22973-12","CHILDREN'S CIRCUS PARADE MUG-12",1.65,40513.5444444444
"84569B-12","PACK 3 FIRE ENGINE/CAR PATCHES-12",1.25,40513.5444444444
"22549-12","PICTURE DOMINOES-12",1.45,40513.5444444444
"22244--4","3 HOOK HANGER MAGIC GARDEN--4",1.95,40513.60625
"22242--5","5 HOOK HANGER MAGIC TOADSTOOL--5",1.65,40513.60625
"20914--1","SET/5 RED RETROSPOT LID GLASS BOWLS--1",2.95,40513.60625
"22892--7","SET OF SALT AND PEPPER TOADSTOOLS--7",1.25,40513.60625
"22654--1","DELUXE SEWING KIT --1",5.95,40513.60625
"22767--2","TRIPLE PHOTO FRAME CORNICE --2",9.95,40513.60625
"22333--1","RETROSPOT PARTY BAG + STICKER SET--1",1.65,40513.60625
"22245--2","HOOK, 1 HANGER ,MAGIC GARDEN--2",0.85,40513.60625
"22077--6","6 RIBBONS RUSTIC CHARM--6",1.65,40513.60625
"22631--1","CIRCUS PARADE LUNCH BOX --1",1.95,40513.60625
"22168--2","ORGANISER WOOD ANTIQUE WHITE --2",8.5,40513.60625
"21218--3","RED SPOTTY BISCUIT TIN--3",3.75,40513.60625
"20957--1","PORCELAIN HANGING BELL SMALL--1",1.45,40513.60625
"22580--4","ADVENT CALENDAR GINGHAM SACK--4",5.95,40513.60625
"22752--2","SET 7 BABUSHKA NESTING BOXES--2",8.5,40514.4423611111
"22961-12","JAM MAKING SET PRINTED-12",1.45,40514.76875
"22962-12","JAM JAR WITH PINK LID-12",0.85,40514.76875
"22963-12","JAM JAR WITH GREEN LID-12",0.85,40514.76875
"22776-1","SWEETHEART CAKESTAND 3 TIER-1",9.95,40514.76875
"22952-24","60 CAKE CASES VINTAGE CHRISTMAS-24",0.55,40514.76875
"22077-12","6 RIBBONS RUSTIC CHARM-12",1.65,40514.76875
"22215-2","CAKE STAND WHITE TWO TIER LACE-2",8.5,40514.76875
"21977-24","PACK OF 60 PINK PAISLEY CAKE CASES-24",0.55,40514.76875
"84991-24","60 TEATIME FAIRY CAKE CASES-24",0.55,40514.76875
"21212-24","PACK OF 72 RETROSPOT CAKE CASES-24",0.55,40514.76875
"22149-6","FELTCRAFT 6 FLOWER FRIENDS-6",2.1,40515.4472222222
"22077-12","6 RIBBONS RUSTIC CHARM-12",1.65,40515.4472222222
"21249-6","WOODLAND  HEIGHT CHART STICKERS -6",2.95,40515.4472222222
"22636-8","CHILDS BREAKFAST SET CIRCUS PARADE-8",7.65,40515.4472222222
"22634-8","CHILDS BREAKFAST SET SPACEBOY -8",8.5,40515.4472222222
"22301-6","COFFEE MUG CAT + BIRD DESIGN-6",2.55,40515.4472222222
"22300-6","COFFEE MUG DOG + BALL DESIGN-6",2.55,40515.4472222222
"21328-12","BALLOONS  WRITING SET -12",1.65,40515.4472222222
"21329-12","DINOSAURS  WRITING SET -12",1.65,40515.4472222222
"85099B-30","JUMBO BAG RED RETROSPOT-30",1.95,40515.5395833333
"22331-8","WOODLAND PARTY BAG + STICKER SET-8",1.65,40515.6041666667
"22865-12","HAND WARMER OWL DESIGN-12",2.1,40515.6041666667
"22171-4","3 HOOK PHOTO SHELF ANTIQUE WHITE-4",8.5,40515.6041666667
"22926-4","IVORY GIANT GARDEN THERMOMETER-4",5.95,40515.6041666667
"22914-3","BLUE COAT RACK PARIS FASHION-3",4.95,40515.6041666667
"84849D-12","HOT BATHS SOAP HOLDER-12",1.69,40515.6041666667
"22445-6","PENCIL CASE LIFE IS BEAUTIFUL-6",2.95,40515.6041666667
"16016-10","LARGE CHINESE STYLE SCISSOR-10",0.85,40515.6041666667
"22843-2","BISCUIT TIN VINTAGE GREEN-2",6.75,40517.5847222222
"22842-2","BISCUIT TIN VINTAGE RED-2",6.75,40517.5847222222
"22961-12","JAM MAKING SET PRINTED-12",1.45,40517.5847222222
"22962-12","JAM JAR WITH PINK LID-12",0.85,40517.5847222222
"22963-12","JAM JAR WITH GREEN LID-12",0.85,40517.5847222222
"84997D-6","PINK 3 PIECE POLKADOT CUTLERY SET-6",3.75,40517.5847222222
"22199-4","FRYING PAN RED RETROSPOT-4",4.25,40517.5847222222
"22200-4","FRYING PAN PINK POLKADOT-4",4.25,40517.5847222222
"22505-4","MEMO BOARD COTTAGE DESIGN-4",4.95,40517.5847222222
"22507-4","MEMO BOARD RETROSPOT  DESIGN-4",4.95,40517.5847222222
"84050-6","PINK HEART SHAPE EGG FRYING PAN-6",1.65,40517.5847222222
"85055-4","FRENCH ENAMEL UTENSIL HOLDER-4",3.75,40517.5847222222
"84968A-1","SET OF 16 VINTAGE ROSE CUTLERY-1",12.75,40517.5847222222
"22624-2","IVORY KITCHEN SCALES-2",8.5,40517.5847222222
"22841-1","ROUND CAKE TIN VINTAGE GREEN-1",0,40517.5847222222
"22847-1","BREAD BIN DINER STYLE IVORY-1",16.95,40517.5847222222
"20685-10","DOORMAT RED RETROSPOT-10",6.75,40517.5854166667
"22781-2","GUMBALL MAGAZINE RACK-2",7.65,40517.5965277778
"22865-24","HAND WARMER OWL DESIGN-24",2.1,40517.5965277778
"22960-12","JAM MAKING SET WITH JARS-12",3.75,40517.5965277778
"22961-12","JAM MAKING SET PRINTED-12",1.45,40517.5965277778
"22962-24","JAM JAR WITH PINK LID-24",0.85,40517.5965277778
"22963-24","JAM JAR WITH GREEN LID-24",0.85,40517.5965277778
"22964-18","3 PIECE SPACEBOY COOKIE CUTTER SET-18",2.1,40517.5965277778
"22972-12","CHILDREN'S SPACEBOY MUG-12",1.65,40517.5965277778
"22973-12","CHILDREN'S CIRCUS PARADE MUG-12",1.65,40517.5965277778
"22975-12","SPACEBOY CHILDRENS EGG CUP-12",1.25,40517.5965277778
"22976-12","CIRCUS PARADE CHILDRENS EGG CUP -12",1.25,40517.5965277778
"22834-12","HAND WARMER BABUSHKA DESIGN-12",2.1,40517.5965277778
"22568-4","FELTCRAFT CUSHION OWL-4",3.75,40517.5965277778
"84375-12","SET OF 20 KIDS COOKIE CUTTERS-12",2.1,40517.5965277778
"22940-8","FELTCRAFT CHRISTMAS FAIRY-8",4.25,40517.5965277778
"22898-8","CHILDRENS APRON APPLES DESIGN-8",1.95,40517.5965277778
"22837-4","HOT WATER BOTTLE BABUSHKA -4",4.65,40517.5965277778
"22968-2","ROSE COTTAGE KEEPSAKE BOX -2",9.95,40517.5965277778
"22816-12","CARD MOTORBIKE SANTA-12",0.42,40517.5965277778
"22818-24","CARD CHRISTMAS VILLAGE-24",0.42,40517.5965277778
"21915-24","RED  HARMONICA IN BOX -24",1.25,40517.5965277778
"21914-24","BLUE HARMONICA IN BOX -24",1.25,40517.5965277778
"22333-8","RETROSPOT PARTY BAG + STICKER SET-8",1.65,40517.5965277778
"20668-24","DISCO BALL CHRISTMAS DECORATION-24",0.12,40517.5965277778
"21817-12","GLITTER CHRISTMAS TREE-12",0.85,40517.5965277778
"22337-24","ANGEL DECORATION PAINTED ZINC -24",0.65,40517.5965277778
"22571-24","ROCKING HORSE RED CHRISTMAS -24",0.85,40517.5965277778
"22572-24","ROCKING HORSE GREEN CHRISTMAS -24",0.85,40517.5965277778
"22579-24","WOODEN TREE CHRISTMAS SCANDINAVIAN-24",0.85,40517.5965277778
"22601-24","CHRISTMAS RETROSPOT ANGEL WOOD-24",0.85,40517.5965277778
"84341B-12","SMALL PINK MAGIC CHRISTMAS TREE-12",0.85,40517.5965277778
"22629-36","SPACEBOY LUNCH BOX -36",1.95,40517.5965277778
"22326-24","ROUND SNACK BOXES SET OF4 WOODLAND -24",2.95,40517.5965277778
