"NFactura","Fecha","IDProducto","Cantidad"
"536527",40513.5444444444,"22809-6",6
"536527",40513.5444444444,"84347-6",6
"536527",40513.5444444444,"84945-12",12
"536527",40513.5444444444,"22242-12",12
"536527",40513.5444444444,"22244-12",12
"536527",40513.5444444444,"22243-12",12
"536527",40513.5444444444,"47421-24",24
"536527",40513.5444444444,"20712-10",10
"536527",40513.5444444444,"20713-10",10
"536527",40513.5444444444,"22837-4",4
"536527",40513.5444444444,"22969-12",12
"536527",40513.5444444444,"22973-12",12
"536527",40513.5444444444,"84569B-12",12
"536527",40513.5444444444,"22549-12",12
"C536548",40513.60625,"22244--4",-4
"C536548",40513.60625,"22242--5",-5
"C536548",40513.60625,"20914--1",-1
"C536548",40513.60625,"22892--7",-7
"C536548",40513.60625,"22654--1",-1
"C536548",40513.60625,"22767--2",-2
"C536548",40513.60625,"22333--1",-1
"C536548",40513.60625,"22245--2",-2
"C536548",40513.60625,"22077--6",-6
"C536548",40513.60625,"22631--1",-1
"C536548",40513.60625,"22168--2",-2
"C536548",40513.60625,"21218--3",-3
"C536548",40513.60625,"20957--1",-1
"C536548",40513.60625,"22580--4",-4
"C536622",40514.4423611111,"22752--2",-2
"536840",40514.76875,"22961-12",12
"536840",40514.76875,"22962-12",12
"536840",40514.76875,"22963-12",12
"536840",40514.76875,"22776-1",1
"536840",40514.76875,"22952-24",24
"536840",40514.76875,"22077-12",12
"536840",40514.76875,"22215-2",2
"536840",40514.76875,"21977-24",24
"536840",40514.76875,"84991-24",24
"536840",40514.76875,"21212-24",24
"536861",40515.4472222222,"22149-6",6
"536861",40515.4472222222,"22077-12",12
"536861",40515.4472222222,"21249-6",6
"536861",40515.4472222222,"22636-8",8
"536861",40515.4472222222,"22634-8",8
"536861",40515.4472222222,"22301-6",6
"536861",40515.4472222222,"22300-6",6
"536861",40515.4472222222,"21328-12",12
"536861",40515.4472222222,"21329-12",12
"536967",40515.5395833333,"85099B-30",30
"536983",40515.6041666667,"22331-8",8
"536983",40515.6041666667,"22865-12",12
"536983",40515.6041666667,"22171-4",4
"536983",40515.6041666667,"22926-4",4
"536983",40515.6041666667,"22914-3",3
"536983",40515.6041666667,"84849D-12",12
"536983",40515.6041666667,"22445-6",6
"536983",40515.6041666667,"16016-10",10
"537197",40517.5847222222,"22843-2",2
"537197",40517.5847222222,"22842-2",2
"537197",40517.5847222222,"22961-12",12
"537197",40517.5847222222,"22962-12",12
"537197",40517.5847222222,"22963-12",12
"537197",40517.5847222222,"84997D-6",6
"537197",40517.5847222222,"22199-4",4
"537197",40517.5847222222,"22200-4",4
"537197",40517.5847222222,"22505-4",4
"537197",40517.5847222222,"22507-4",4
"537197",40517.5847222222,"84050-6",6
"537197",40517.5847222222,"85055-4",4
"537197",40517.5847222222,"84968A-1",1
"537197",40517.5847222222,"22624-2",2
"537197",40517.5847222222,"22841-1",1
"537197",40517.5847222222,"22847-1",1
"537198",40517.5854166667,"20685-10",10
"537201",40517.5965277778,"22781-2",2
"537201",40517.5965277778,"22865-24",24
"537201",40517.5965277778,"22960-12",12
"537201",40517.5965277778,"22961-12",12
"537201",40517.5965277778,"22962-24",24
"537201",40517.5965277778,"22963-24",24
"537201",40517.5965277778,"22964-18",18
"537201",40517.5965277778,"22972-12",12
"537201",40517.5965277778,"22973-12",12
"537201",40517.5965277778,"22975-12",12
"537201",40517.5965277778,"22976-12",12
"537201",40517.5965277778,"22834-12",12
"537201",40517.5965277778,"22568-4",4
"537201",40517.5965277778,"84375-12",12
"537201",40517.5965277778,"22940-8",8
"537201",40517.5965277778,"22898-8",8
"537201",40517.5965277778,"22837-4",4
"537201",40517.5965277778,"22968-2",2
"537201",40517.5965277778,"22816-12",12
"537201",40517.5965277778,"22818-24",24
"537201",40517.5965277778,"21915-24",24
"537201",40517.5965277778,"21914-24",24
"537201",40517.5965277778,"22333-8",8
"537201",40517.5965277778,"20668-24",24
"537201",40517.5965277778,"21817-12",12
"537201",40517.5965277778,"22337-24",24
"537201",40517.5965277778,"22571-24",24
"537201",40517.5965277778,"22572-24",24
"537201",40517.5965277778,"22579-24",24
"537201",40517.5965277778,"22601-24",24
"537201",40517.5965277778,"84341B-12",12
"537201",40517.5965277778,"22629-36",36
"537201",40517.5965277778,"22326-24",24
"537201",40517.5965277778,"20719-30",30
"537201",40517.5965277778,"22556-12",12
"537201",40517.5965277778,"22895-12",12
"537201",40517.5965277778,"20750-4",4
